time_ps,rg_nm,rg_x_nm,rg_y_nm,rg_z_nm
0.0,3.58269,2.90225,3.18106,2.67004
10.0,3.6085,2.91528,3.20967,2.69104
20.0,3.62065,2.921,3.22217,2.70252
30.0,3.6243,2.91991,3.24723,2.68343
40.0,3.63817,2.93092,3.26236,2.6906
50.0,3.64792,2.93404,3.28088,2.69107
60.0,3.64087,2.93222,3.27785,2.67762
70.0,3.64961,2.93139,3.29602,2.68003
80.0,3.61696,2.9101,3.25705,2.66228
90.0,3.59962,2.9053,3.23091,2.65237
100.0,3.59285,2.89752,3.22036,2.65533
110.0,3.63564,2.9284,3.25867,2.69097
120.0,3.62434,2.91992,3.24419,2.6872
130.0,3.61371,2.91335,3.22571,2.68792
140.0,3.60291,2.91033,3.21605,2.67376
150.0,3.60409,2.90677,3.22479,2.67026
160.0,3.57888,2.887,3.1898,2.66593
170.0,3.57381,2.8875,3.18048,2.66293
180.0,3.57342,2.8924,3.17643,2.6614
190.0,3.5602,2.87589,3.16742,2.65459
200.0,3.59941,2.90595,3.20818,2.67854
210.0,3.62046,2.92846,3.2163,2.70092
220.0,3.64986,2.9527,3.23947,2.72586
230.0,3.63249,2.93425,3.22788,2.7131
240.0,3.58415,2.89101,3.1898,2.67573
250.0,3.5407,2.84792,3.15981,2.64161
260.0,3.53968,2.85135,3.14948,2.64749
270.0,3.52012,2.83771,3.12806,2.63535
280.0,3.50128,2.82664,3.1032,2.62643
290.0,3.531,2.85209,3.1266,2.65065
300.0,3.55979,2.87239,3.15795,2.66852
310.0,3.60034,2.90664,3.18724,2.70516
320.0,3.57569,2.87963,3.17479,2.68321
330.0,3.57119,2.8772,3.17208,2.67701
340.0,3.55059,2.86013,3.14022,2.67805
350.0,3.58376,2.87729,3.17765,2.70377
360.0,3.57216,2.86529,3.1669,2.69843
370.0,3.57875,2.87243,3.16592,2.70944
380.0,3.57036,2.86235,3.16374,2.70049
390.0,3.55849,2.86071,3.14498,2.6928
400.0,3.51312,2.80896,3.11451,2.6634
410.0,3.4993,2.8022,3.09659,2.65498
420.0,3.49209,2.79622,3.09075,2.64911
430.0,3.48406,2.79827,3.07209,2.64751
440.0,3.51525,2.8144,3.0953,2.68556
450.0,3.55316,2.8443,3.1393,2.70271
460.0,3.55783,2.84853,3.15039,2.69763
470.0,3.60446,2.87112,3.2104,2.72658
480.0,3.59301,2.85318,3.21119,2.71422
490.0,3.58894,2.85462,3.19936,2.71594
500.0,3.57037,2.83417,3.19607,2.69214
510.0,3.5921,2.84909,3.2159,2.71054
520.0,3.60757,2.87046,3.21651,2.72831
530.0,3.58167,2.85626,3.18071,2.7169
540.0,3.59854,2.86611,3.19947,2.72905
550.0,3.59214,2.85602,3.19757,2.72499
