time_ps,rmsd_nm
0.0,0.0004921
0.01,0.1134495
0.02,0.1548453
0.03,0.1624617
0.04,0.2258748
0.05,0.2281165
0.06,0.2487964
0.07,0.2236557
0.08,0.2355253
0.09,0.2681908
0.1,0.3054608
0.11,0.3188537
0.12,0.3746916
0.13,0.3860002
0.14,0.3973372
0.15,0.3876979
0.16,0.3883155
0.17,0.3658179
0.18,0.3861162
0.19,0.3996561
0.2,0.3894694
0.21,0.3439259
0.22,0.3228658
0.23,0.330844
0.24,0.3446979
0.25,0.396259
0.26,0.3904806
0.27,0.417042
0.28,0.4495279
0.29,0.4655247
0.3,0.5089927
0.31,0.5352135
0.32,0.4806609
0.33,0.497517
0.34,0.5238371
0.35,0.5281441
0.36,0.5074193
0.37,0.5051857
0.38,0.5263205
0.39,0.5338662
0.4,0.5197627
0.41,0.4868434
0.42,0.481783
0.43,0.4902081
0.44,0.5182805
0.45,0.5230232
0.46,0.5191063
0.47,0.5734047
0.48,0.5471615
0.49,0.5461677
0.5,0.569616
0.5100001,0.5243919
0.52,0.542111
0.53,0.5450305
0.54,0.5417441
0.55,0.6057996
0.56,0.6344436
0.5700001,0.6483069
0.58,0.6617788
0.59,0.6834021
0.6,0.6923881
0.61,0.6625437
0.62,0.6278113
0.6300001,0.6290045
0.64,0.6620623
0.65,0.6869135
0.66,0.7159714
0.67,0.7441123
0.68,0.7674031
0.6900001,0.7331644
0.7,0.723653
0.71,0.7233672
0.72,0.7707574
0.73,0.8025107
0.74,0.828312
0.7500001,0.8447435
0.7600001,0.8368579
0.77,0.8208759
0.78,0.7727413
0.79,0.798209
0.8,0.8021486
0.8100001,0.8501532
0.8200001,0.882212
0.83,0.9067555
0.84,0.8587947
0.85,0.8519007
0.86,0.844248
0.8700001,0.8406946
0.8800001,0.8317052
0.89,0.8111714
0.9,0.8377656
0.91,0.841858
0.92,0.8442007
0.9300001,0.8199598
0.9400001,0.8001263
0.95,0.8131336
0.96,0.8043318
0.97,0.7478669
0.98,0.7211784
0.9900001,0.7378463
1.0,0.7554753
1.01,0.7549337
1.0200001,0.7326931
1.0300001,0.7928171
1.0400001,0.7999098
1.0500001,0.8025858
1.0600001,0.8070799
1.0700001,0.8056852
1.08,0.8318713
1.09,0.8184394
1.1,0.8712195
1.11,0.8922269
1.12,0.8663589
1.13,0.8620456
1.1400001,0.882582
1.1500001,0.8652804
1.1600001,0.8805069
1.1700001,0.8351699
1.1800001,0.8338748
1.1900001,0.8712726
1.2,0.8601771
1.21,0.8316448
1.22,0.8489644
1.23,0.8289478
1.24,0.8099101
1.25,0.8237233
1.2600001,0.8192675
1.2700001,0.8609273
1.2800001,0.9070625
1.2900001,0.9212533
1.3000001,0.8940731
1.3100001,0.9069508
1.3200001,0.870683
1.33,0.9057913
1.34,0.9039696
1.35,0.8983135
1.36,0.8687572
1.3700001,0.9039492
1.3800001,0.9402706
1.3900001,0.9453348
1.4000001,0.9912454
1.4100001,0.9733375
1.4200001,0.9516729
1.4300001,0.981164
1.4400001,1.0042055
1.45,0.9980164
1.46,1.0114158
1.47,0.9937677
1.48,0.9785798
1.4900001,0.9909952
1.5000001,0.964823
1.5100001,0.9538085
1.5200001,0.9514903
1.5300001,0.9502226
1.5400001,0.9650668
1.5500001,0.9528545
1.5600001,0.9915011
1.5700001,0.9887992
1.58,1.0587481
1.59,1.0466775
1.6,1.0299383
1.6100001,1.0418811
1.6200001,1.064092
1.6300001,1.0737962
1.6400001,1.0784885
1.6500001,1.0989522
1.6600001,1.0798142
1.6700001,1.0675526
1.6800001,1.0859185
1.6900001,1.0870662
1.7,1.0708243
1.71,1.0910221
1.72,1.0893065
1.7300001,1.0983766
1.7400001,1.0791442
1.7500001,1.0850507
1.7600001,1.0983655
1.7700001,1.1097467
1.7800001,1.1240163
1.7900001,1.1132246
1.8000001,1.1292319
1.8100001,1.1393532
1.8200001,1.1394235
1.83,1.169086
1.84,1.1822847
1.8500001,1.1670415
1.8600001,1.2028792
1.8700001,1.2055931
1.8800001,1.1975064
1.8900001,1.1975316
1.9000001,1.197453
1.9100001,1.2193415
1.9200001,1.238101
1.9300001,1.173381
1.9400001,1.1803234
1.95,1.1946704
1.96,1.193929
1.9700001,1.1831181
1.9800001,1.1779051
1.9900001,1.1706966
2.0,1.2104508
2.01,1.2175539
2.02,1.2099944
2.0300002,1.2147678
2.0400002,1.2276093
2.0500002,1.2070221
2.0600002,1.1741202
2.0700002,1.2190871
2.0800002,1.218811
2.0900002,1.2234131
2.1000001,1.2750773
2.1100001,1.2890636
2.1200001,1.2869014
2.1300001,1.2675188
2.1400001,1.2905148
2.1500001,1.3143156
2.1600001,1.3228555
2.1700001,1.3445921
2.1800001,1.3317139
2.1900001,1.3295015
2.2,1.3408116
2.21,1.3172578
2.22,1.2947747
2.23,1.3054833
2.24,1.3061392
2.25,1.315532
2.26,1.3021171
2.2700002,1.3229669
2.2800002,1.2748994
2.2900002,1.265942
2.3000002,1.2809001
2.3100002,1.2581921
2.3200002,1.2924076
2.3300002,1.315294
2.3400002,1.3243657
2.3500001,1.3414767
2.3600001,1.355159
2.3700001,1.3517416
2.3800001,1.3566191
2.3900001,1.3674918
2.4000001,1.3710691
2.4100001,1.3488016
2.4200001,1.3604527
2.4300001,1.3628669
2.4400001,1.3766991
2.45,1.3777421
2.46,1.3965623
2.47,1.3708816
2.48,1.3775359
2.49,1.3294719
2.5,1.3324172
2.5100002,1.3326783
2.5200002,1.3514551
2.5300002,1.3209282
2.5400002,1.3055309
2.5500002,1.2517358
2.5600002,1.2286631
2.5700002,1.1953714
2.5800002,1.1805933
2.5900002,1.189965
2.6000001,1.1589497
2.6100001,1.1503059
2.6200001,1.1588001
2.6300001,1.1901209
2.6400001,1.198414
2.6500001,1.1573391
2.6600001,1.1828376
2.6700001,1.1879934
2.6800001,1.1835946
2.6900001,1.1238891
2.7,1.0836565
2.71,1.0684549
2.72,1.0333983
2.73,1.0354095
2.7400002,1.0368493
2.7500002,1.0693662
2.7600002,1.073037
2.7700002,1.0781882
2.7800002,1.0545865
2.7900002,1.032001
2.8000002,1.0443742
2.8100002,1.0321686
2.8200002,1.0448445
2.8300002,1.038432
2.8400002,1.0325917
2.8500001,1.0514398
2.8600001,1.0424869
2.8700001,1.046224
2.8800001,1.0297469
2.8900001,1.055653
2.9000001,1.060115
2.9100001,1.0576876
2.9200001,1.0329444
2.9300001,0.9983919
2.9400001,0.9753575
2.95,0.9896749
2.96,0.9941777
2.97,0.9918261
2.9800003,0.9963588
2.9900002,1.0092853
3.0000002,1.039661
3.0100002,1.040682
3.0200002,1.0732877
3.0300002,1.0800395
3.0400002,1.0757922
3.0500002,1.1313165
3.0600002,1.1904268
3.0700002,1.1949708
3.0800002,1.1866904
3.0900002,1.2256784
3.1000001,1.2153578
3.1100001,1.218359
3.1200001,1.2571317
3.1300001,1.2579178
3.1400001,1.2505552
3.1500001,1.2340416
3.1600001,1.2243261
3.1700001,1.2385417
3.1800001,1.2443051
3.1900001,1.2514598
3.2,1.2440007
3.21,1.2996882
3.2200003,1.3184735
3.2300003,1.2847042
3.2400002,1.3081684
3.2500002,1.3358176
3.2600002,1.3697836
3.2700002,1.3645874
3.2800002,1.3458992
3.2900002,1.3423157
3.3000002,1.3195531
3.3100002,1.3438534
3.3200002,1.3140424
3.3300002,1.3085052
3.3400002,1.2637508
3.3500001,1.2510155
3.3600001,1.2538346
3.3700001,1.260422
3.3800001,1.2687867
3.3900001,1.2870575
3.4000001,1.267157
3.4100001,1.2573395
3.4200001,1.2453135
3.4300001,1.2058146
3.4400001,1.1818579
3.45,1.1479516
3.4600003,1.1456807
3.4700003,1.1327648
3.4800003,1.1277457
3.4900002,1.1954509
3.5000002,1.186878
3.5100002,1.1744754
3.5200002,1.1370282
3.5300002,1.1610039
3.5400002,1.1715306
3.5500002,1.1819705
3.5600002,1.1935863
3.5700002,1.2252866
3.5800002,1.2457641
3.5900002,1.2419586
3.6000001,1.285262
3.6100001,1.2949904
3.6200001,1.2813977
3.6300001,1.2811108
3.6400001,1.2917882
3.6500001,1.3099141
3.6600001,1.2994423
3.6700001,1.2921079
3.6800001,1.2669443
3.6900001,1.2618346
3.7000003,1.2477735
3.7100003,1.2802384
3.7200003,1.2639322
3.7300003,1.2511574
3.7400002,1.2340758
3.7500002,1.2028661
3.7600002,1.184741
3.7700002,1.2065424
3.7800002,1.1964951
3.7900002,1.2084028
3.8000002,1.2068245
