time_ps,rmsd_nm
0.0,0.0004891
0.01,0.0882546
0.02,0.1287799
0.03,0.1396586
0.04,0.2159077
0.05,0.2092796
0.06,0.1815487
0.07,0.1540475
0.08,0.1989525
0.09,0.2356111
0.1,0.2155422
0.11,0.2693776
0.12,0.3229851
0.13,0.2996686
0.14,0.2808689
0.15,0.2766618
0.16,0.2892507
0.17,0.3250512
0.18,0.3474135
0.19,0.3576096
0.2,0.3846933
0.21,0.3518802
0.22,0.3655306
0.23,0.397287
0.24,0.398451
0.25,0.4055781
0.26,0.3781122
0.27,0.3740179
0.28,0.3971578
0.29,0.3964607
0.3,0.3968435
0.31,0.4337045
0.32,0.4095226
0.33,0.4691601
0.34,0.4683264
0.35,0.4792058
0.36,0.4030432
0.37,0.3869164
0.38,0.4020233
0.39,0.4048813
0.4,0.3766864
0.41,0.3162696
0.42,0.3281669
0.43,0.4196613
0.44,0.4468815
0.45,0.4742366
0.46,0.5033998
0.47,0.5376849
0.48,0.5625178
0.49,0.5663117
0.5,0.5250667
0.5100001,0.510048
0.52,0.5273775
0.53,0.4766071
0.54,0.4731146
0.55,0.5055818
0.56,0.4921016
0.5700001,0.5697166
0.58,0.6017288
0.59,0.5871469
0.6,0.5854926
0.61,0.6320924
0.62,0.7026283
0.6300001,0.7249638
0.64,0.7162035
0.65,0.7189978
0.66,0.7678459
0.67,0.7691458
0.68,0.7580326
0.6900001,0.6906366
0.7,0.6830858
0.71,0.7039618
0.72,0.7526751
0.73,0.780775
0.74,0.7793964
0.7500001,0.751684
0.7600001,0.7440921
0.77,0.7220414
0.78,0.6607637
0.79,0.6216794
0.8,0.6024503
0.8100001,0.5936242
0.8200001,0.6533332
0.83,0.608709
0.84,0.595711
0.85,0.6396698
0.86,0.6358852
0.8700001,0.62981
0.8800001,0.6544518
0.89,0.6548397
0.9,0.6741635
0.91,0.6758996
0.92,0.7411793
0.9300001,0.7374914
0.9400001,0.7461458
0.95,0.795894
0.96,0.77865
0.97,0.7676221
0.98,0.7421707
0.9900001,0.7512196
1.0,0.7646621
1.01,0.7976111
1.0200001,0.8152853
1.0300001,0.8022916
1.0400001,0.8598848
1.0500001,0.8873737
1.0600001,0.8546867
1.0700001,0.8112844
1.08,0.8080719
1.09,0.7992244
1.1,0.8130693
1.11,0.8622144
1.12,0.8271133
1.13,0.8313444
1.1400001,0.8395036
1.1500001,0.8121899
1.1600001,0.8230289
1.1700001,0.8531429
1.1800001,0.8590717
1.1900001,0.8481689
1.2,0.895302
1.21,0.9445311
1.22,0.9203343
1.23,0.8646762
1.24,0.8502719
1.25,0.8596409
1.2600001,0.859823
1.2700001,0.8700768
1.2800001,0.8844775
1.2900001,0.8763687
1.3000001,0.9163685
1.3100001,0.949586
1.3200001,0.9370354
1.33,0.9229434
1.34,0.9205896
1.35,0.9033394
1.36,0.8736657
1.3700001,0.9101712
1.3800001,0.8906851
1.3900001,0.8563926
1.4000001,0.8699915
1.4100001,0.8268884
1.4200001,0.8048531
1.4300001,0.8237867
1.4400001,0.830231
1.45,0.7937466
1.46,0.8177323
1.47,0.867661
1.48,0.9273598
1.4900001,0.9397655
1.5000001,0.9539937
1.5100001,1.0082815
1.5200001,0.9911584
1.5300001,0.9266778
1.5400001,0.9156062
1.5500001,0.8995999
1.5600001,0.8466442
1.5700001,0.8646242
1.58,0.8891316
1.59,0.8946476
1.6,0.9471494
1.6100001,0.9355474
1.6200001,0.9888222
1.6300001,0.9627943
1.6400001,1.0086731
1.6500001,1.0289072
1.6600001,1.03729
1.6700001,1.071432
1.6800001,1.036443
1.6900001,1.0712072
1.7,1.0986321
1.71,1.0929124
1.72,1.1160293
1.7300001,1.1165575
1.7400001,1.140718
1.7500001,1.1354663
1.7600001,1.1152095
1.7700001,1.1323155
1.7800001,1.1287218
1.7900001,1.0757289
1.8000001,1.0706809
1.8100001,1.0822442
1.8200001,1.0407877
1.83,1.1176866
1.84,1.1044836
1.8500001,1.0874846
1.8600001,1.1107483
1.8700001,1.1599666
1.8800001,1.19048
1.8900001,1.1815283
1.9000001,1.1188272
1.9100001,1.1120703
1.9200001,1.111472
1.9300001,1.0797834
1.9400001,1.1252675
1.95,1.1467087
1.96,1.1311888
1.9700001,1.1692606
1.9800001,1.1309605
1.9900001,1.1079283
2.0,1.1136538
2.01,1.120447
2.02,1.1139619
2.0300002,1.1444567
2.0400002,1.1411308
2.0500002,1.1478574
2.0600002,1.1207459
2.0700002,1.1237597
2.0800002,1.1445671
2.0900002,1.1189471
2.1000001,1.1853535
2.1100001,1.1863557
2.1200001,1.1538733
2.1300001,1.143437
2.1400001,1.0880204
2.1500001,1.0676136
2.1600001,1.0398163
2.1700001,0.9934345
2.1800001,0.9588517
2.1900001,0.9661258
2.2,0.985629
2.21,0.9705205
2.22,0.9951699
2.23,0.9565447
2.24,0.953821
2.25,0.9137895
2.26,0.87384
2.2700002,0.8885065
2.2800002,0.9052305
2.2900002,0.9050754
2.3000002,0.8352731
2.3100002,0.9068005
2.3200002,0.9158803
2.3300002,0.9062097
2.3400002,0.9139773
2.3500001,0.8737164
2.3600001,0.827242
2.3700001,0.9277222
2.3800001,0.9575352
2.3900001,0.9134357
2.4000001,0.9306663
2.4100001,0.979378
2.4200001,1.0055968
2.4300001,1.0091707
2.4400001,0.9854159
2.45,0.9719039
2.46,0.9854594
2.47,0.9598362
2.48,0.9518309
2.49,1.0471951
2.5,0.9970693
2.5100002,0.9804895
2.5200002,0.9774513
2.5300002,0.9604096
2.5400002,0.9602686
2.5500002,0.9122072
2.5600002,0.9161029
2.5700002,0.8698791
2.5800002,0.8517466
2.5900002,0.9356194
2.6000001,0.8850741
2.6100001,0.8848727
2.6200001,0.9010417
2.6300001,0.8685576
2.6400001,0.8181794
2.6500001,0.8301089
2.6600001,0.8501757
2.6700001,0.8747038
2.6800001,0.855473
2.6900001,0.8725147
2.7,0.8807239
2.71,0.8883932
2.72,0.9773991
2.73,1.0279418
2.7400002,1.0373586
2.7500002,1.0619453
2.7600002,1.0887108
2.7700002,1.0259137
2.7800002,1.0142547
2.7900002,0.9827718
2.8000002,1.0031946
2.8100002,0.8930615
2.8200002,0.9440111
2.8300002,0.9749277
2.8400002,0.9360023
2.8500001,0.9679791
2.8600001,0.9972582
2.8700001,0.9846357
2.8800001,0.9905139
2.8900001,1.0222753
2.9000001,1.0795721
2.9100001,1.0422777
2.9200001,1.0444798
2.9300001,1.0456611
2.9400001,1.0493275
2.95,1.0565593
2.96,1.075545
2.97,1.0792844
2.9800003,1.1279898
2.9900002,1.1596779
3.0000002,0.7797449
3.0100002,0.7720977
3.0200002,0.7932224
3.0300002,0.7575961
3.0400002,0.7745758
3.0500002,0.7818738
3.0600002,0.7834283
3.0700002,0.7562116
3.0800002,0.7830135
3.0900002,0.73818
3.1000001,0.7295777
3.1100001,0.7698718
3.1200001,0.7416528
3.1300001,0.7136012
3.1400001,0.7351838
3.1500001,0.7619724
3.1600001,0.7482963
3.1700001,0.7706894
3.1800001,0.8328728
3.1900001,0.7976385
3.2,0.8076445
3.21,0.8597936
3.2200003,0.8217281
3.2300003,1.1505276
3.2400002,1.084007
3.2500002,1.0979786
3.2600002,1.0870512
3.2700002,1.1222386
3.2800002,1.1422609
3.2900002,1.1361153
3.3000002,1.1310136
3.3100002,1.1758456
3.3200002,1.1683552
3.3300002,1.1638662
3.3400002,1.1779268
3.3500001,1.1612023
3.3600001,1.1727281
3.3700001,1.1270264
3.3800001,1.0799319
3.3900001,1.1198989
3.4000001,1.1019759
3.4100001,1.1367157
3.4200001,1.0633684
3.4300001,1.1547523
3.4400001,1.1545737
3.45,1.1558775
3.4600003,1.1338024
3.4700003,1.1409904
3.4800003,1.127732
3.4900002,1.1805501
3.5000002,1.1674972
3.5100002,1.1795083
3.5200002,1.1516064
3.5300002,1.132692
3.5400002,1.5772128
3.5500002,1.1284827
3.5600002,1.0780853
3.5700002,1.0777844
3.5800002,1.052243
3.5900002,1.0259631
3.6000001,1.0088466
3.6100001,1.0082535
3.6200001,1.0313183
3.6300001,1.0233836
3.6400001,1.0383421
3.6500001,1.065593
3.6600001,1.0486388
3.6700001,1.0646158
3.6800001,1.091699
3.6900001,1.1611007
3.7000003,1.1648544
3.7100003,1.1688606
3.7200003,1.1750863
3.7300003,1.1316062
3.7400002,1.1181847
3.7500002,1.0977588
3.7600002,1.1386874
3.7700002,1.1815044
3.7800002,1.1697738
3.7900002,1.2009126
3.8000002,1.1919261
3.8100002,1.2242675
3.8200002,1.2295145
3.8300002,1.1898131
3.8400002,1.1511431
3.8500001,1.179939
3.8600001,1.2537169
3.8700001,1.2254239
3.8800001,1.1343319
3.8900001,1.1640612
3.9000001,1.1903672
3.9100001,1.2260995
3.9200001,1.2799052
3.9300003,1.2974092
3.9400003,1.3429163
3.9500003,1.4224608
3.9600003,1.414714
3.9700003,1.4242139
3.9800003,1.5203178
3.9900002,1.5353602
4.0,1.5610377
4.0100002,1.5277025
4.02,1.4793537
4.0300002,1.5070771
4.04,1.5377921
4.0500002,1.4977056
4.0600004,1.518459
4.0700002,1.5860065
4.0800004,1.5920559
4.0900002,1.5846618
4.1000004,1.6110682
4.1100001,1.6006322
4.1200004,1.6673411
4.1300001,1.6829491
4.1400003,1.5629914
4.1500001,1.5549753
4.1600003,1.6368457
4.1700001,1.5083017
4.1800003,1.5349973
4.1900001,1.526248
4.2000003,1.5441905
4.21,1.663169
4.2200003,1.6117808
4.23,1.6174433
4.2400002,1.6209898
4.25,1.5099792
4.2600002,1.5209417
4.27,1.5758127
4.2800002,1.5798041
4.2900004,1.6065905
4.3000002,1.6438287
4.3100004,1.644841
4.3200002,1.7021928
4.3300004,1.7095054
4.3400002,1.7229118
4.3500004,1.682235
4.3600001,1.721181
4.3700004,1.6731988
4.3800001,1.7557853
4.3900003,1.7467022
4.4000001,1.7983444
4.4100003,1.7175087
4.4200001,1.7521949
4.4300003,1.7159734
4.4400001,1.6919423
4.4500003,1.7306311
4.46,1.8162117
4.4700003,1.7622415
4.48,1.9109023
4.4900002,1.9183135
4.5,1.9728556
4.5100002,1.8667477
4.52,1.84694
4.5300002,1.926513
4.5400004,1.9437064
4.5500002,1.969855
4.5600004,1.9951906
4.5700002,1.5453099
4.5800004,1.5452037
4.5900002,1.9659053
4.6000004,1.9628831
4.6100001,1.990001
4.6200004,1.9378906
4.6300001,1.6272085
4.6400003,1.5848439
4.6500001,1.5482466
4.6600003,1.5926837
4.6700001,1.56394
4.6800003,1.5573791
4.6900001,1.5440887
4.7000003,1.5743625
4.71,1.5793912
4.7200003,1.5710847
4.73,1.5936545
4.7400002,1.6273705
4.75,1.6005942
4.7600002,1.6141776
4.7700005,1.6384789
4.7800002,1.5743539
4.7900004,1.516696
4.8000002,1.5023649
4.8100004,1.4676422
4.8200002,1.4888678
4.8300004,1.5648859
4.8400002,1.5581704
4.8500004,1.4924464
4.8600001,1.4977815
4.8700004,1.4689761
4.8800001,1.4876015
4.8900003,1.4872191
4.9000001,2.1179533
4.9100003,1.5982283
4.9200001,1.4950107
4.9300003,1.5261717
4.9400001,2.0270226
4.9500003,2.0488088
4.96,1.598354
4.9700003,1.5843329
4.98,1.5672244
4.9900002,1.6327907
5.0,1.6898031
5.0100002,1.7098789
5.0200005,1.6673224
5.0300002,1.6397007
5.0400004,1.6583457
5.0500002,1.9642609
5.0600004,2.0224686
5.0700002,2.0322616
5.0800004,1.6771972
5.0900002,1.7287078
5.1000004,1.7360616
5.1100001,1.6713469
5.1200004,1.711552
5.1300001,1.5688483
5.1400003,1.6361068
5.1500001,1.6500554
5.1600003,1.6596627
5.1700001,1.6600361
5.1800003,1.676145
5.1900001,1.6895646
5.2000003,1.6836873
5.21,1.674116
5.2200003,1.6202956
5.23,1.6649042
5.2400002,1.6674616
5.2500005,1.6251171
5.2600002,1.5824488
5.2700005,1.7574252
5.2800002,1.7137938
5.2900004,1.6809869
5.3000002,1.6849948
5.3100004,1.6427423
5.3200002,1.5675073
5.3300004,1.5889808
5.3400002,1.6482357
5.3500004,1.635967
5.3600001,1.6809763
5.3700004,1.6785914
5.3800001,1.7003356
5.3900003,1.7060444
5.4000001,1.7362731
5.4100003,1.6010131
5.4200001,1.577062
5.4300003,1.529271
5.4400001,1.6588711
5.4500003,1.6389837
5.46,1.6153194
5.4700003,1.6147467
5.4800005,1.5690755
5.4900002,1.589811
5.5000005,1.6307764
5.5100002,1.6168959
5.5200005,1.6418719
5.5300002,1.613094
5.5400004,1.626314
5.5500002,1.6894765
5.5600004,1.68795
5.5700002,1.6205683
5.5800004,1.6676679
5.5900002,1.5487792
5.6000004,1.541255
5.6100001,1.5372399
