time_ps,mindist_nm
0.0,0.2092387
10.0,0.2271607
20.0,0.2196611
30.0,0.2161019
40.0,0.214292
50.0,0.2058274
60.0,0.2159075
70.0,0.2187738
80.0,0.2269493
90.0,0.2345251
100.0,0.2153925
110.0,0.2225513
120.0,0.2227335
130.0,0.2221129
140.0,0.2291308
150.0,0.2255926
160.0,0.2185542
170.0,0.2056505
180.0,0.2288255
190.0,0.2226071
200.0,0.2334032
210.0,0.2243082
220.0,0.22383
230.0,0.2179311
240.0,0.2307579
250.0,0.2258957
260.0,0.2177982
270.0,0.2181581
280.0,0.2322607
290.0,0.2296128
300.0,0.2245129
310.0,0.2224633
320.0,0.2124005
330.0,0.2141918
340.0,0.2283681
350.0,0.2204038
360.0,0.2034969
370.0,0.2277676
380.0,0.2288337
390.0,0.226826
400.0,0.2276687
410.0,0.1838125
420.0,0.1816286
430.0,0.2104138
440.0,0.2158563
450.0,0.2295928
460.0,0.2291311
470.0,0.216227
480.0,0.2197932
490.0,0.2269584
500.0,0.2237424
510.0,0.2302823
520.0,0.2154296
530.0,0.2100242
540.0,0.2257386
550.0,0.2190225
560.0,0.2215155
570.0,0.2247088
580.0,0.2197839
590.0,0.2111494
600.0,0.1827808
610.0,0.2250153
620.0,0.226773
630.0,0.2148046
640.0,0.213598
650.0,0.2335145
660.0,0.220111
670.0,0.2281164
680.0,0.2173612
690.0,0.2187326
700.0,0.2281425
710.0,0.2020051
720.0,0.2222813
730.0,0.224991
740.0,0.2184196
750.0,0.226956
760.0,0.2107629
770.0,0.2168918
780.0,0.2250112
790.0,0.2272576
800.0,0.2402624
810.0,0.2155111
820.0,0.2227645
830.0,0.2285102
840.0,0.229826
850.0,0.1750602
860.0,0.2108529
870.0,0.221714
880.0,0.2347874
890.0,0.2195132
900.0,0.2102216
910.0,0.2210407
920.0,0.2104398
930.0,0.2185453
940.0,0.2186985
950.0,0.225502
960.0,0.2045945
970.0,0.2235193
980.0,0.2200043
990.0,0.2376824
1000.0,0.2296456
1010.0,0.2273194
1020.0,0.2229279
1030.0,0.2278374
1040.0,0.2368628
1050.0,0.2351212
1060.0,0.2334331
1070.0,0.2255883
1080.0,0.2234479
1090.0,0.2370734
1100.0,0.2239889
1110.0,0.2268063
1120.0,0.231175
1130.0,0.2183808
1140.0,0.239727
1150.0,0.2359197
1160.0,0.2256197
1170.0,0.2238036
1180.0,0.229848
1190.0,0.2264948
1200.0,0.2329075
1210.0,0.2254703
1220.0,0.2214993
1230.0,0.2463616
1240.0,0.2298824
1250.0,0.232648
1260.0,0.2652506
1270.0,0.2681158
1280.0,0.2746964
1290.0,0.2433701
1300.0,0.2544968
1310.0,0.2666439
1320.0,0.2585907
1330.0,0.2660038
1340.0,0.2527766
1350.0,0.225697
1360.0,0.2617598
1370.0,0.2583084
1380.0,0.2429545
1390.0,0.2753527
1400.0,0.2494916
1410.0,0.2748323
1420.0,0.2827948
1430.0,0.250787
1440.0,0.2868813
1450.0,0.2400941
1460.0,0.2737992
1470.0,0.2837429
1480.0,0.2620475
1490.0,0.2503299
