GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
1,574.86,1482.41,2367.68,-1233.68,-12493.08,648.65,7966.04,-2738.04,97.44,-687.12,-2640.6,-3327.72
2,520.16,1420.33,2334.26,-1227.08,-12633.61,660.47,7951.77,-2578.02,95.98,-973.7,-2482.03,-3455.73
3,601.71,1501.74,2335.99,-1226.24,-12592.31,653.25,7917.14,-2632.28,95.68,-808.71,-2536.6,-3345.31
4,593.42,1402.71,2335.85,-1215.06,-12583.82,651.04,7945.14,-2658.74,97.01,-870.71,-2561.72,-3432.43
5,532.59,1425.73,2344.37,-1202.64,-12613.53,680.75,8004.69,-2697.99,98.5,-828.05,-2599.49,-3427.54
6,561.55,1423.09,2332.38,-1221.43,-12667.22,667.07,8019.74,-2644.01,97.45,-884.83,-2546.55,-3431.38
7,577.83,1489.2,2344.46,-1226.32,-12619.98,654.25,7935.28,-2573.32,96.62,-845.26,-2476.7,-3321.96
8,585.32,1427.84,2358.47,-1228.05,-12740.75,657.8,7957.56,-2517.62,94.5,-981.82,-2423.12,-3404.94
9,539.08,1458.46,2331.21,-1237.83,-12564.17,658.18,7947.29,-2657.34,97.05,-867.78,-2560.29,-3428.07
10,539.2,1476.92,2330.61,-1230.76,-12522.45,669.07,7986.77,-2737.05,97.76,-750.64,-2639.28,-3389.93
11,557.43,1434.74,2323.22,-1234.45,-12562.23,671.51,7916.37,-2624.54,96.33,-893.41,-2528.21,-3421.62
12,569.62,1454.53,2324.42,-1273.82,-12575.68,647.65,7893.12,-2573.74,91.8,-960.16,-2481.95,-3442.11
13,555.84,1429.79,2339.01,-1231.9,-12761.75,656.29,7942.6,-2471.31,94.75,-1070.12,-2376.56,-3446.68
14,530.15,1440.08,2369.29,-1209.36,-12458.23,680.41,7922.11,-2733.45,96.25,-725.55,-2637.2,-3362.75
15,549.05,1466.99,2346.7,-1275.09,-12795.25,667.01,8019.11,-2490.6,92.68,-1021.48,-2397.92,-3419.4
16,538.44,1380.45,2351.47,-1244.28,-12604.42,655.07,8086.17,-2761.48,95.06,-837.1,-2666.42,-3503.53
17,580.62,1439.32,2360.25,-1234.34,-12798.86,656.25,7973.0,-2460.77,92.15,-1023.77,-2368.62,-3392.39
18,570.23,1405.94,2351.69,-1238.17,-12625.2,641.24,8031.12,-2676.12,95.52,-863.14,-2580.61,-3443.75
