system,rep,metric,metric_label,mean,sd,median,min,max,n_points,x_min_used,x_max_used
drugs2263,rep1,contacts_prot_lig,Protein-ligand contacts,23.99240151969606,4.426459335806632,24.0,7.0,35.0,5001,50.0,100.0
drugs2263,rep1,gyrate_protein,Protein radius of gyration,2.157129782043591,0.07441868086503876,2.17426,1.90897,2.36888,5001,50.0,100.0
drugs2263,rep1,hbond_prot_lig,Protein-ligand hydrogen bonds,1.0365926814637072,0.9344841934770369,1.0,0.0,5.0,5001,50.0,100.0
drugs2263,rep1,mindist_prot_lig,Protein-ligand minimum distance,0.20433047854429115,0.02762508730240188,0.1963265,0.1486544,0.3194902,5001,50.0,100.0
drugs2263,rep1,rmsd_backbone,Protein backbone RMSD,2.21606014398,0.16861839519944008,2.1386404,1.9070371,2.7016373,5000,50.0000038,99.9900055
drugs2263,rep1,rmsd_ligand_heavy,Ligand heavy-atom RMSD,2.44973919686,0.3442384196677152,2.4439619,1.4336586,3.5228496,5000,50.0000038,99.9900055
drugs2263,rep1,rmsf_backbone_residue,Protein backbone RMSF,0.9374707182320443,0.39054709727940645,0.8578,0.2869,2.0114,181,1.0,181.0
drugs2263,rep2,contacts_prot_lig,Protein-ligand contacts,22.893221355728855,3.85463306175722,23.0,7.0,34.0,5001,50.0,100.0
drugs2263,rep2,gyrate_protein,Protein radius of gyration,4.372142371525695,0.3482094952274201,4.46656,3.31048,4.92952,5001,50.0,100.0
drugs2263,rep2,hbond_prot_lig,Protein-ligand hydrogen bonds,0.41371725654869024,0.7910776189731017,0.0,0.0,5.0,5001,50.0,100.0
drugs2263,rep2,mindist_prot_lig,Protein-ligand minimum distance,0.23191212959408122,0.025258971286066186,0.2344912,0.1636334,0.2993892,5001,50.0,100.0
drugs2263,rep2,rmsd_backbone,Protein backbone RMSD,1.99941706778,0.2653543221589896,2.0365334500000003,1.3088592,2.5581074,5000,50.0000038,99.9900055
drugs2263,rep2,rmsd_ligand_heavy,Ligand heavy-atom RMSD,2.4819122394999997,0.32480713426619506,2.49171315,1.5534568,3.3385043,5000,50.0000038,99.9900055
drugs2263,rep2,rmsf_backbone_residue,Protein backbone RMSF,0.9852022099447513,0.30071410415797506,0.8907,0.4452,1.8068,181,1.0,181.0
drugs2263,rep3,contacts_prot_lig,Protein-ligand contacts,26.844231153769247,3.6598266644415345,27.0,10.0,36.0,5001,50.0,100.0
drugs2263,rep3,gyrate_protein,Protein radius of gyration,4.272513815236953,0.0787210208810903,4.27265,4.04228,4.49396,5001,50.0,100.0
drugs2263,rep3,hbond_prot_lig,Protein-ligand hydrogen bonds,1.0041991601679665,0.7788339768700994,1.0,0.0,6.0,5001,50.0,100.0
drugs2263,rep3,mindist_prot_lig,Protein-ligand minimum distance,0.20131915658868227,0.020538330723829944,0.1978561,0.1558017,0.286688,5001,50.0,100.0
drugs2263,rep3,rmsd_backbone,Protein backbone RMSD,1.8586693708,0.07327490336016045,1.85418955,1.625103,2.1038814,5000,50.0000038,99.9900055
