system,metric,metric_label,replicate_mean,replicate_sd,n_reps,rep_values
drugs2263,contacts_prot_lig,Protein-ligand contacts,24.576618009731387,2.0392648887466027,3,23.9924;22.8932;26.8442
drugs2263,gyrate_protein,Protein radius of gyration,3.6005953229354133,1.2510699573219854,3,2.1571;4.3721;4.2725
drugs2263,hbond_prot_lig,Protein-ligand hydrogen bonds,0.8181696993934547,0.35064036982042934,3,1.0366;0.4137;1.0042
drugs2263,mindist_prot_lig,Protein-ligand minimum distance,0.21252058824235154,0.016860928858665067,3,0.2043;0.2319;0.2013
drugs2263,rmsd_backbone,Protein backbone RMSD,2.0247155275199997,0.180033469770101,3,2.2161;1.9994;1.8587
drugs2263,rmsd_ligand_heavy,Ligand heavy-atom RMSD,2.487243215933333,0.04043394363923612,3,2.4497;2.4819;2.5301
drugs2263,rmsf_backbone_residue,Protein backbone RMSF,0.8390585635359117,0.21313195141942262,3,0.9375;0.9852;0.5945
drugs3003,contacts_prot_lig,Protein-ligand contacts,18.400919816036794,1.3799292742423592,3,18.3965;19.7830;17.0232
drugs3003,gyrate_protein,Protein radius of gyration,2.6500271165766844,0.8712835950474918,3,2.5666;1.8234;3.5600
drugs3003,hbond_prot_lig,Protein-ligand hydrogen bonds,1.001732986735986,0.2691620908355167,3,1.2330;1.0660;0.7063
drugs3003,mindist_prot_lig,Protein-ligand minimum distance,0.2345812625341598,0.01794187227284857,3,0.2275;0.2212;0.2550
drugs3003,rmsd_backbone,Protein backbone RMSD,1.9338358831466664,0.8306903174930551,3,1.8251;2.8135;1.1629
drugs3003,rmsd_ligand_heavy,Ligand heavy-atom RMSD,0.8699581365266665,0.10665730565252372,3,0.8064;0.8103;0.9931
drugs3003,rmsf_backbone_residue,Protein backbone RMSF,0.6810780847145489,0.2048510110194936,3,0.8448;0.7470;0.4514
drugs3523,contacts_prot_lig,Protein-ligand contacts,27.253016063453973,5.883681424565976,3,21.8962;26.3125;33.5503
drugs3523,gyrate_protein,Protein radius of gyration,2.9398988442311538,0.4910520924357615,3,2.6024;2.7141;3.5032
drugs3523,hbond_prot_lig,Protein-ligand hydrogen bonds,0.7645804172498835,0.43499075735130577,3,0.2687;1.0820;0.9430
drugs3523,mindist_prot_lig,Protein-ligand minimum distance,0.2292383711591015,0.01601694347009894,3,0.2477;0.2213;0.2187
drugs3523,rmsd_backbone,Protein backbone RMSD,1.7323773654933337,0.1345987348412652,3,1.8110;1.5770;1.8092
drugs3523,rmsd_ligand_heavy,Ligand heavy-atom RMSD,1.8349280965933332,0.19100333234235747,3,1.8345;1.6441;2.0261
drugs3523,rmsf_backbone_residue,Protein backbone RMSF,0.6764576427255985,0.03156446428524323,3,0.6986;0.6905;0.6403


