system,rep,term,average_kcal_per_mol,sd_prop,sd,sem_prop,sem,source_file,source_line
drugs2263,rep1,DELTA_VDWAALS,-26.4,0.53,6.0,0.05,0.6,<PROJECT_ROOT>/gmx_mmpbsa_50_100ns/drugs2263/rep1/FINAL_RESULTS_MMPBSA_GB.dat,螖VDWAALS                -26.40          0.53       6.00         0.05       0.60
drugs2263,rep1,DELTA_EEL,86.38,3.06,41.41,0.3,4.12,<PROJECT_ROOT>/gmx_mmpbsa_50_100ns/drugs2263/rep1/FINAL_RESULTS_MMPBSA_GB.dat,螖EEL                     86.38          3.06      41.41         0.30       4.12
drugs2263,rep1,DELTA_1_4_EEL,0.0,0.52,0.0,0.05,0.0,<PROJECT_ROOT>/gmx_mmpbsa_50_100ns/drugs2263/rep1/FINAL_RESULTS_MMPBSA_GB.dat,螖1-4 EEL                  0.00          0.52       0.00         0.05       0.00
drugs2263,rep1,DELTA_EGB,-78.3,1.67,39.32,0.17,3.91,<PROJECT_ROOT>/gmx_mmpbsa_50_100ns/drugs2263/rep1/FINAL_RESULTS_MMPBSA_GB.dat,螖EGB                    -78.30          1.67      39.32         0.17       3.91
drugs2263,rep1,DELTA_ESURF,-3.81,0.16,0.81,0.02,0.08,<PROJECT_ROOT>/gmx_mmpbsa_50_100ns/drugs2263/rep1/FINAL_RESULTS_MMPBSA_GB.dat,螖ESURF                   -3.81          0.16       0.81         0.02       0.08
drugs2263,rep1,DELTA_GGAS,59.98,3.1,39.85,0.31,3.97,<PROJECT_ROOT>/gmx_mmpbsa_50_100ns/drugs2263/rep1/FINAL_RESULTS_MMPBSA_GB.dat,螖GGAS                    59.98          3.10      39.85         0.31       3.97
drugs2263,rep1,DELTA_GSOLV,-82.11,1.68,39.36,0.17,3.92,<PROJECT_ROOT>/gmx_mmpbsa_50_100ns/drugs2263/rep1/FINAL_RESULTS_MMPBSA_GB.dat,螖GSOLV                  -82.11          1.68      39.36         0.17       3.92
drugs2263,rep1,DELTA_TOTAL,-22.13,3.53,6.05,0.35,0.6,<PROJECT_ROOT>/gmx_mmpbsa_50_100ns/drugs2263/rep1/FINAL_RESULTS_MMPBSA_GB.dat,螖TOTAL                  -22.13          3.53       6.05         0.35       0.60
drugs2263,rep2,DELTA_VDWAALS,-27.83,0.11,3.82,0.01,0.38,<PROJECT_ROOT>/gmx_mmpbsa_50_100ns/drugs2263/rep2/FINAL_RESULTS_MMPBSA_GB.dat,螖VDWAALS                -27.83          0.11       3.82         0.01       0.38
drugs2263,rep2,DELTA_EEL,-77.54,3.49,42.56,0.35,4.23,<PROJECT_ROOT>/gmx_mmpbsa_50_100ns/drugs2263/rep2/FINAL_RESULTS_MMPBSA_GB.dat,螖EEL                    -77.54          3.49      42.56         0.35       4.23
