system,rep,term,mean_kcal_per_mol,sd_kcal_per_mol,sem_kcal_per_mol,source
drugs2263,rep1,VDWAALS,-3.62,1.26,1.26,<PROJECT_ROOT>/gmx_mmpbsa_50_100ns/drugs2263/rep1/FINAL_RESULTS_MMPBSA_GB.dat
drugs2263,rep1,EEL,136.54,4.45,4.45,<PROJECT_ROOT>/gmx_mmpbsa_50_100ns/drugs2263/rep1/FINAL_RESULTS_MMPBSA_GB.dat
drugs2263,rep1,EGB,-311.96,4.09,4.09,<PROJECT_ROOT>/gmx_mmpbsa_50_100ns/drugs2263/rep1/FINAL_RESULTS_MMPBSA_GB.dat
drugs2263,rep1,ESURF,4.14,0.03,0.03,<PROJECT_ROOT>/gmx_mmpbsa_50_100ns/drugs2263/rep1/FINAL_RESULTS_MMPBSA_GB.dat
drugs2263,rep1,GGAS,264.66,7.03,6.04,<PROJECT_ROOT>/gmx_mmpbsa_50_100ns/drugs2263/rep1/FINAL_RESULTS_MMPBSA_GB.dat
drugs2263,rep1,GSOLV,-307.82,4.09,4.1,<PROJECT_ROOT>/gmx_mmpbsa_50_100ns/drugs2263/rep1/FINAL_RESULTS_MMPBSA_GB.dat
drugs2263,rep2,VDWAALS,-3.43,1.29,1.29,<PROJECT_ROOT>/gmx_mmpbsa_50_100ns/drugs2263/rep2/FINAL_RESULTS_MMPBSA_GB.dat
drugs2263,rep2,EEL,137.32,3.85,3.85,<PROJECT_ROOT>/gmx_mmpbsa_50_100ns/drugs2263/rep2/FINAL_RESULTS_MMPBSA_GB.dat
drugs2263,rep2,EGB,-312.54,3.62,3.62,<PROJECT_ROOT>/gmx_mmpbsa_50_100ns/drugs2263/rep2/FINAL_RESULTS_MMPBSA_GB.dat
drugs2263,rep2,ESURF,4.16,0.03,0.03,<PROJECT_ROOT>/gmx_mmpbsa_50_100ns/drugs2263/rep2/FINAL_RESULTS_MMPBSA_GB.dat
drugs2263,rep2,GGAS,265.76,6.78,6.45,<PROJECT_ROOT>/gmx_mmpbsa_50_100ns/drugs2263/rep2/FINAL_RESULTS_MMPBSA_GB.dat
drugs2263,rep2,GSOLV,-308.38,3.62,3.63,<PROJECT_ROOT>/gmx_mmpbsa_50_100ns/drugs2263/rep2/FINAL_RESULTS_MMPBSA_GB.dat
drugs2263,rep3,VDWAALS,-3.42,1.6,1.6,<PROJECT_ROOT>/gmx_mmpbsa_50_100ns/drugs2263/rep3/FINAL_RESULTS_MMPBSA_GB.dat
drugs2263,rep3,EEL,136.6,3.18,3.18,<PROJECT_ROOT>/gmx_mmpbsa_50_100ns/drugs2263/rep3/FINAL_RESULTS_MMPBSA_GB.dat
drugs2263,rep3,EGB,-311.96,2.84,2.84,<PROJECT_ROOT>/gmx_mmpbsa_50_100ns/drugs2263/rep3/FINAL_RESULTS_MMPBSA_GB.dat
drugs2263,rep3,ESURF,4.12,0.04,0.04,<PROJECT_ROOT>/gmx_mmpbsa_50_100ns/drugs2263/rep3/FINAL_RESULTS_MMPBSA_GB.dat
drugs2263,rep3,GGAS,264.53,6.63,5.67,<PROJECT_ROOT>/gmx_mmpbsa_50_100ns/drugs2263/rep3/FINAL_RESULTS_MMPBSA_GB.dat
drugs2263,rep3,GSOLV,-307.83,2.84,2.86,<PROJECT_ROOT>/gmx_mmpbsa_50_100ns/drugs2263/rep3/FINAL_RESULTS_MMPBSA_GB.dat
