system,rep,term,mean_kcal_per_mol,sd_kcal_per_mol,sem_kcal_per_mol,source_file,source_line
drugs2263,rep1,VDWAALS,-3.62,1.26,0.13,<PROJECT_ROOT>/gmx_mmpbsa_50_100ns/drugs2263/rep1/FINAL_RESULTS_MMPBSA_GB.dat,VDWAALS                  -3.62          1.26       1.26         0.13       0.13
drugs2263,rep1,EEL,136.54,4.45,0.44,<PROJECT_ROOT>/gmx_mmpbsa_50_100ns/drugs2263/rep1/FINAL_RESULTS_MMPBSA_GB.dat,EEL                     136.54          4.45       4.45         0.44       0.44
drugs2263,rep1,EGB,-311.96,4.09,0.41,<PROJECT_ROOT>/gmx_mmpbsa_50_100ns/drugs2263/rep1/FINAL_RESULTS_MMPBSA_GB.dat,EGB                    -311.96          4.09       4.09         0.41       0.41
drugs2263,rep1,ESURF,4.14,0.03,0.0,<PROJECT_ROOT>/gmx_mmpbsa_50_100ns/drugs2263/rep1/FINAL_RESULTS_MMPBSA_GB.dat,ESURF                     4.14          0.03       0.03         0.00       0.00
drugs2263,rep1,DELTA_G_GAS,264.66,6.04,0.6,<PROJECT_ROOT>/gmx_mmpbsa_50_100ns/drugs2263/rep1/FINAL_RESULTS_MMPBSA_GB.dat,GGAS                    264.66          7.03       6.04         0.70       0.60
drugs2263,rep1,DELTA_G_SOLV,-307.82,4.1,0.41,<PROJECT_ROOT>/gmx_mmpbsa_50_100ns/drugs2263/rep1/FINAL_RESULTS_MMPBSA_GB.dat,GSOLV                  -307.82          4.09       4.10         0.41       0.41
drugs2263,rep2,VDWAALS,-3.43,1.29,0.13,<PROJECT_ROOT>/gmx_mmpbsa_50_100ns/drugs2263/rep2/FINAL_RESULTS_MMPBSA_GB.dat,VDWAALS                  -3.43          1.29       1.29         0.13       0.13
drugs2263,rep2,EEL,137.32,3.85,0.38,<PROJECT_ROOT>/gmx_mmpbsa_50_100ns/drugs2263/rep2/FINAL_RESULTS_MMPBSA_GB.dat,EEL                     137.32          3.85       3.85         0.38       0.38
drugs2263,rep2,EGB,-312.54,3.62,0.36,<PROJECT_ROOT>/gmx_mmpbsa_50_100ns/drugs2263/rep2/FINAL_RESULTS_MMPBSA_GB.dat,EGB                    -312.54          3.62       3.62         0.36       0.36
drugs2263,rep2,ESURF,4.16,0.03,0.0,<PROJECT_ROOT>/gmx_mmpbsa_50_100ns/drugs2263/rep2/FINAL_RESULTS_MMPBSA_GB.dat,ESURF                     4.16          0.03       0.03         0.00       0.00
drugs2263,rep2,DELTA_G_GAS,265.76,6.45,0.64,<PROJECT_ROOT>/gmx_mmpbsa_50_100ns/drugs2263/rep2/FINAL_RESULTS_MMPBSA_GB.dat,GGAS                    265.76          6.78       6.45         0.68       0.64
drugs2263,rep2,DELTA_G_SOLV,-308.38,3.63,0.36,<PROJECT_ROOT>/gmx_mmpbsa_50_100ns/drugs2263/rep2/FINAL_RESULTS_MMPBSA_GB.dat,GSOLV                  -308.38          3.62       3.63         0.36       0.36
drugs2263,rep3,VDWAALS,-3.42,1.6,0.16,<PROJECT_ROOT>/gmx_mmpbsa_50_100ns/drugs2263/rep3/FINAL_RESULTS_MMPBSA_GB.dat,VDWAALS                  -3.42          1.60       1.60         0.16       0.16
drugs2263,rep3,EEL,136.6,3.18,0.32,<PROJECT_ROOT>/gmx_mmpbsa_50_100ns/drugs2263/rep3/FINAL_RESULTS_MMPBSA_GB.dat,EEL                     136.60          3.18       3.18         0.32       0.32
drugs2263,rep3,EGB,-311.96,2.84,0.28,<PROJECT_ROOT>/gmx_mmpbsa_50_100ns/drugs2263/rep3/FINAL_RESULTS_MMPBSA_GB.dat,EGB                    -311.96          2.84       2.84         0.28       0.28
drugs2263,rep3,ESURF,4.12,0.04,0.0,<PROJECT_ROOT>/gmx_mmpbsa_50_100ns/drugs2263/rep3/FINAL_RESULTS_MMPBSA_GB.dat,ESURF                     4.12          0.04       0.04         0.00       0.00
drugs2263,rep3,DELTA_G_GAS,264.53,5.67,0.56,<PROJECT_ROOT>/gmx_mmpbsa_50_100ns/drugs2263/rep3/FINAL_RESULTS_MMPBSA_GB.dat,GGAS                    264.53          6.63       5.67         0.66       0.56
drugs2263,rep3,DELTA_G_SOLV,-307.83,2.86,0.28,<PROJECT_ROOT>/gmx_mmpbsa_50_100ns/drugs2263/rep3/FINAL_RESULTS_MMPBSA_GB.dat,GSOLV                  -307.83          2.84       2.86         0.28       0.28
drugs3003,rep1,VDWAALS,-15.76,1.44,0.14,<PROJECT_ROOT>/gmx_mmpbsa_50_100ns/drugs3003/rep1/FINAL_RESULTS_MMPBSA_GB.dat,VDWAALS                 -15.76          1.44       1.44         0.14       0.14
drugs3003,rep1,EEL,40.33,1.16,0.12,<PROJECT_ROOT>/gmx_mmpbsa_50_100ns/drugs3003/rep1/FINAL_RESULTS_MMPBSA_GB.dat,EEL                      40.33          1.16       1.16         0.12       0.12
drugs3003,rep1,EGB,-154.77,1.12,0.11,<PROJECT_ROOT>/gmx_mmpbsa_50_100ns/drugs3003/rep1/FINAL_RESULTS_MMPBSA_GB.dat,EGB                    -154.77          1.12       1.12         0.11       0.11
drugs3003,rep1,ESURF,4.41,0.04,0.0,<PROJECT_ROOT>/gmx_mmpbsa_50_100ns/drugs3003/rep1/FINAL_RESULTS_MMPBSA_GB.dat,ESURF                     4.41          0.04       0.04         0.00       0.00
drugs3003,rep1,DELTA_G_GAS,209.01,6.75,0.67,<PROJECT_ROOT>/gmx_mmpbsa_50_100ns/drugs3003/rep1/FINAL_RESULTS_MMPBSA_GB.dat,GGAS                    209.01          7.42       6.75         0.74       0.67
drugs3003,rep1,DELTA_G_SOLV,-150.36,1.12,0.11,<PROJECT_ROOT>/gmx_mmpbsa_50_100ns/drugs3003/rep1/FINAL_RESULTS_MMPBSA_GB.dat,GSOLV                  -150.36          1.12       1.12         0.11       0.11
drugs3003,rep2,VDWAALS,-15.84,1.69,0.17,<PROJECT_ROOT>/gmx_mmpbsa_50_100ns/drugs3003/rep2/FINAL_RESULTS_MMPBSA_GB.dat,VDWAALS                 -15.84          1.69       1.69         0.17       0.17
drugs3003,rep2,EEL,40.28,1.47,0.15,<PROJECT_ROOT>/gmx_mmpbsa_50_100ns/drugs3003/rep2/FINAL_RESULTS_MMPBSA_GB.dat,EEL                      40.28          1.47       1.47         0.15       0.15
drugs3003,rep2,EGB,-154.19,1.38,0.14,<PROJECT_ROOT>/gmx_mmpbsa_50_100ns/drugs3003/rep2/FINAL_RESULTS_MMPBSA_GB.dat,EGB                    -154.19          1.38       1.38         0.14       0.14
drugs3003,rep2,ESURF,4.41,0.04,0.0,<PROJECT_ROOT>/gmx_mmpbsa_50_100ns/drugs3003/rep2/FINAL_RESULTS_MMPBSA_GB.dat,ESURF                     4.41          0.04       0.04         0.00       0.00
drugs3003,rep2,DELTA_G_GAS,209.93,6.44,0.64,<PROJECT_ROOT>/gmx_mmpbsa_50_100ns/drugs3003/rep2/FINAL_RESULTS_MMPBSA_GB.dat,GGAS                    209.93          7.39       6.44         0.74       0.64
drugs3003,rep2,DELTA_G_SOLV,-149.78,1.39,0.14,<PROJECT_ROOT>/gmx_mmpbsa_50_100ns/drugs3003/rep2/FINAL_RESULTS_MMPBSA_GB.dat,GSOLV                  -149.78          1.38       1.39         0.14       0.14
drugs3003,rep3,VDWAALS,-16.17,2.13,0.21,<PROJECT_ROOT>/gmx_mmpbsa_50_100ns/drugs3003/rep3/FINAL_RESULTS_MMPBSA_GB.dat,VDWAALS                 -16.17          2.13       2.13         0.21       0.21
drugs3003,rep3,EEL,40.66,2.63,0.26,<PROJECT_ROOT>/gmx_mmpbsa_50_100ns/drugs3003/rep3/FINAL_RESULTS_MMPBSA_GB.dat,EEL                      40.66          2.63       2.63         0.26       0.26
drugs3003,rep3,EGB,-154.42,2.32,0.23,<PROJECT_ROOT>/gmx_mmpbsa_50_100ns/drugs3003/rep3/FINAL_RESULTS_MMPBSA_GB.dat,EGB                    -154.42          2.32       2.32         0.23       0.23
drugs3003,rep3,ESURF,4.33,0.07,0.01,<PROJECT_ROOT>/gmx_mmpbsa_50_100ns/drugs3003/rep3/FINAL_RESULTS_MMPBSA_GB.dat,ESURF                     4.33          0.07       0.07         0.01       0.01
drugs3003,rep3,DELTA_G_GAS,208.92,6.47,0.64,<PROJECT_ROOT>/gmx_mmpbsa_50_100ns/drugs3003/rep3/FINAL_RESULTS_MMPBSA_GB.dat,GGAS                    208.92          7.76       6.47         0.77       0.64
drugs3003,rep3,DELTA_G_SOLV,-150.09,2.31,0.23,<PROJECT_ROOT>/gmx_mmpbsa_50_100ns/drugs3003/rep3/FINAL_RESULTS_MMPBSA_GB.dat,GSOLV                  -150.09          2.32       2.31         0.23       0.23
drugs3523,rep1,VDWAALS,-13.68,2.16,0.22,<PROJECT_ROOT>/gmx_mmpbsa_50_100ns/drugs3523/rep1/FINAL_RESULTS_MMPBSA_GB.dat,VDWAALS                 -13.68          2.16       2.16         0.22       0.22
drugs3523,rep1,EEL,1.81,2.89,0.29,<PROJECT_ROOT>/gmx_mmpbsa_50_100ns/drugs3523/rep1/FINAL_RESULTS_MMPBSA_GB.dat,EEL                       1.81          2.89       2.89         0.29       0.29
drugs3523,rep1,EGB,-68.47,2.75,0.27,<PROJECT_ROOT>/gmx_mmpbsa_50_100ns/drugs3523/rep1/FINAL_RESULTS_MMPBSA_GB.dat,EGB                     -68.47          2.75       2.75         0.27       0.27
drugs3523,rep1,ESURF,6.32,0.12,0.01,<PROJECT_ROOT>/gmx_mmpbsa_50_100ns/drugs3523/rep1/FINAL_RESULTS_MMPBSA_GB.dat,ESURF                     6.32          0.12       0.12         0.01       0.01
drugs3523,rep1,DELTA_G_GAS,89.88,8.13,0.81,<PROJECT_ROOT>/gmx_mmpbsa_50_100ns/drugs3523/rep1/FINAL_RESULTS_MMPBSA_GB.dat,GGAS                     89.88          8.54       8.13         0.85       0.81
drugs3523,rep1,DELTA_G_SOLV,-62.15,2.69,0.27,<PROJECT_ROOT>/gmx_mmpbsa_50_100ns/drugs3523/rep1/FINAL_RESULTS_MMPBSA_GB.dat,GSOLV                   -62.15          2.75       2.69         0.27       0.27
drugs3523,rep2,VDWAALS,-14.96,1.76,0.18,<PROJECT_ROOT>/gmx_mmpbsa_50_100ns/drugs3523/rep2/FINAL_RESULTS_MMPBSA_GB.dat,VDWAALS                 -14.96          1.76       1.76         0.18       0.18
drugs3523,rep2,EEL,2.94,2.74,0.27,<PROJECT_ROOT>/gmx_mmpbsa_50_100ns/drugs3523/rep2/FINAL_RESULTS_MMPBSA_GB.dat,EEL                       2.94          2.74       2.74         0.27       0.27
