system,rep,source_file,DELTA_1_4_EEL_avg,DELTA_1_4_EEL_sd,DELTA_1_4_EEL_sem,DELTA_EEL_avg,DELTA_EEL_sd,DELTA_EEL_sem,DELTA_EGB_avg,DELTA_EGB_sd,DELTA_EGB_sem,DELTA_ESURF_avg,DELTA_ESURF_sd,DELTA_ESURF_sem,DELTA_GGAS_avg,DELTA_GGAS_sd,DELTA_GGAS_sem,DELTA_GSOLV_avg,DELTA_GSOLV_sd,DELTA_GSOLV_sem,DELTA_TOTAL_avg,DELTA_TOTAL_sd,DELTA_TOTAL_sem,DELTA_VDWAALS_avg,DELTA_VDWAALS_sd,DELTA_VDWAALS_sem
drugs2263,rep1,<PROJECT_ROOT>/gmx_mmpbsa_50_100ns/drugs2263/rep1/FINAL_RESULTS_MMPBSA_GB.dat,0.0,0.0,0.0,86.38,41.41,4.12,-78.3,39.32,3.91,-3.81,0.81,0.08,59.98,39.85,3.97,-82.11,39.36,3.92,-22.13,6.05,0.6,-26.4,6.0,0.6
drugs2263,rep2,<PROJECT_ROOT>/gmx_mmpbsa_50_100ns/drugs2263/rep2/FINAL_RESULTS_MMPBSA_GB.dat,-0.0,0.0,0.0,-77.54,42.56,4.23,83.9,40.31,4.01,-3.48,0.34,0.03,-105.37,41.5,4.13,80.41,40.27,4.01,-24.96,3.62,0.36,-27.83,3.82,0.38
drugs2263,rep3,<PROJECT_ROOT>/gmx_mmpbsa_50_100ns/drugs2263/rep3/FINAL_RESULTS_MMPBSA_GB.dat,0.0,0.0,0.0,326.67,59.46,5.92,-302.41,51.48,5.12,-4.69,0.4,0.04,292.7,58.27,5.8,-307.1,51.64,5.14,-14.39,7.71,0.77,-33.96,4.06,0.4
drugs3003,rep1,<PROJECT_ROOT>/gmx_mmpbsa_50_100ns/drugs3003/rep1/FINAL_RESULTS_MMPBSA_GB.dat,-0.0,0.0,0.0,-228.61,79.84,7.94,243.4,84.26,8.38,-3.64,1.39,0.14,-257.72,90.11,8.97,239.76,82.91,8.25,-17.96,7.62,0.76,-29.11,10.8,1.07
drugs3003,rep2,<PROJECT_ROOT>/gmx_mmpbsa_50_100ns/drugs3003/rep2/FINAL_RESULTS_MMPBSA_GB.dat,-0.0,0.0,0.0,-144.59,42.14,4.19,163.66,41.62,4.14,-4.46,0.47,0.05,-178.05,42.33,4.21,159.2,41.61,4.14,-18.85,4.12,0.41,-33.46,4.04,0.4
drugs3003,rep3,<PROJECT_ROOT>/gmx_mmpbsa_50_100ns/drugs3003/rep3/FINAL_RESULTS_MMPBSA_GB.dat,-0.0,0.0,0.0,-253.78,34.29,3.41,266.82,33.21,3.3,-3.57,0.55,0.05,-280.34,36.05,3.59,263.24,32.91,3.27,-17.1,4.55,0.45,-26.57,4.13,0.41
drugs3523,rep1,<PROJECT_ROOT>/gmx_mmpbsa_50_100ns/drugs3523/rep1/FINAL_RESULTS_MMPBSA_GB.dat,0.0,0.0,0.0,34.83,19.97,1.99,-25.07,14.61,1.45,-2.93,1.89,0.19,9.82,11.23,1.12,-27.99,16.0,1.59,-18.17,12.03,1.2,-25.01,16.25,1.62
drugs3523,rep2,<PROJECT_ROOT>/gmx_mmpbsa_50_100ns/drugs3523/rep2/FINAL_RESULTS_MMPBSA_GB.dat,-0.0,0.0,0.0,56.14,22.92,2.28,-44.19,18.76,1.87,-3.88,1.37,0.14,19.4,13.6,1.35,-48.07,19.92,1.98,-28.67,10.5,1.04,-36.74,13.13,1.31
drugs3523,rep3,<PROJECT_ROOT>/gmx_mmpbsa_50_100ns/drugs3523/rep3/FINAL_RESULTS_MMPBSA_GB.dat,-0.0,0.0,0.0,74.26,14.27,1.42,-50.59,12.87,1.28,-7.95,0.71,0.07,8.18,16.32,1.62,-58.54,12.68,1.26,-50.36,6.45,0.64,-66.09,6.2,0.62


