system,term,replicate_mean_kcal_per_mol,replicate_sd_kcal_per_mol,n_reps
drugs2263,DELTA_G_GAS,264.98333333333335,0.6757465007925165,3
drugs2263,DELTA_G_SOLV,-308.01,0.3204684071792452,3
drugs2263,EEL,136.82,0.43405068828421417,3
drugs2263,EGB,-312.1533333333333,0.33486315613000656,3
drugs2263,ESURF,4.14,0.020000000000000018,3
drugs2263,VDWAALS,-3.49,0.11269427669584649,3
drugs3003,DELTA_G_GAS,209.28666666666666,0.5589573627150328,3
drugs3003,DELTA_G_SOLV,-150.07666666666668,0.290229794013876,3
drugs3003,EEL,40.42333333333333,0.20647840887931243,3
drugs3003,EGB,-154.46,0.292061637330212,3
drugs3003,ESURF,4.383333333333334,0.046188021535170105,3
drugs3003,VDWAALS,-15.923333333333334,0.2173323108360416,3
drugs3523,DELTA_G_GAS,90.97333333333333,1.5761133630971271,3
drugs3523,DELTA_G_SOLV,-63.22666666666667,1.2318414400130098,3
drugs3523,EEL,2.7733333333333334,0.8917585622427929,3
drugs3523,EGB,-69.53333333333333,1.2231244144948377,3
drugs3523,ESURF,6.303333333333334,0.015275252316519626,3
drugs3523,VDWAALS,-14.396666666666667,0.6536308846232207,3


