metric,system,rep,x,y
gyrate_protein,drugs2263,rep1,0.0,3.66861
gyrate_protein,drugs2263,rep1,0.01,3.6088
gyrate_protein,drugs2263,rep1,0.02,3.57153
gyrate_protein,drugs2263,rep1,0.03,3.60144
gyrate_protein,drugs2263,rep1,0.04,3.619
gyrate_protein,drugs2263,rep1,0.05,3.63756
gyrate_protein,drugs2263,rep1,0.06,3.63526
gyrate_protein,drugs2263,rep1,0.07,3.61442
gyrate_protein,drugs2263,rep1,0.08,3.61492
gyrate_protein,drugs2263,rep1,0.09,3.59706
gyrate_protein,drugs2263,rep1,0.1,3.64054
gyrate_protein,drugs2263,rep1,0.11,3.62442
gyrate_protein,drugs2263,rep1,0.12,3.62183
gyrate_protein,drugs2263,rep1,0.13,3.65507
gyrate_protein,drugs2263,rep1,0.14,3.66191
gyrate_protein,drugs2263,rep1,0.15,3.6817
gyrate_protein,drugs2263,rep1,0.16,3.65477
gyrate_protein,drugs2263,rep1,0.17,3.65827
gyrate_protein,drugs2263,rep1,0.18,3.66931
gyrate_protein,drugs2263,rep1,0.19,3.67025
gyrate_protein,drugs2263,rep1,0.2,3.66179
gyrate_protein,drugs2263,rep1,0.21,3.69147
gyrate_protein,drugs2263,rep1,0.22,3.70478
gyrate_protein,drugs2263,rep1,0.23,3.70467
gyrate_protein,drugs2263,rep1,0.24,3.65189
gyrate_protein,drugs2263,rep1,0.25,3.65337
gyrate_protein,drugs2263,rep1,0.26,3.67127
gyrate_protein,drugs2263,rep1,0.27,3.65084
gyrate_protein,drugs2263,rep1,0.28,3.65293
gyrate_protein,drugs2263,rep1,0.29,3.67883
gyrate_protein,drugs2263,rep1,0.3,3.69916
gyrate_protein,drugs2263,rep1,0.31,3.69138
gyrate_protein,drugs2263,rep1,0.32,3.72936
gyrate_protein,drugs2263,rep1,0.33,3.70891
gyrate_protein,drugs2263,rep1,0.34,3.67818
gyrate_protein,drugs2263,rep1,0.35,3.69863
gyrate_protein,drugs2263,rep1,0.36,3.6677
gyrate_protein,drugs2263,rep1,0.37,3.68084
gyrate_protein,drugs2263,rep1,0.38,3.70766
gyrate_protein,drugs2263,rep1,0.39,3.70849
gyrate_protein,drugs2263,rep1,0.4,3.67368
gyrate_protein,drugs2263,rep1,0.41,3.64142
gyrate_protein,drugs2263,rep1,0.42,3.61745
gyrate_protein,drugs2263,rep1,0.43,3.57398
gyrate_protein,drugs2263,rep1,0.44,3.58337
gyrate_protein,drugs2263,rep1,0.45,3.5447
gyrate_protein,drugs2263,rep1,0.46,3.56297
gyrate_protein,drugs2263,rep1,0.47,3.56182
gyrate_protein,drugs2263,rep1,0.48,3.55367
gyrate_protein,drugs2263,rep1,0.49,3.57332
gyrate_protein,drugs2263,rep1,0.5,3.55997
gyrate_protein,drugs2263,rep1,0.51,3.54414
gyrate_protein,drugs2263,rep1,0.52,3.51631
gyrate_protein,drugs2263,rep1,0.53,3.49505
gyrate_protein,drugs2263,rep1,0.54,3.45776
gyrate_protein,drugs2263,rep1,0.55,3.49523
gyrate_protein,drugs2263,rep1,0.56,3.53699
gyrate_protein,drugs2263,rep1,0.57,3.58696
gyrate_protein,drugs2263,rep1,0.58,3.59067
gyrate_protein,drugs2263,rep1,0.59,3.56399
gyrate_protein,drugs2263,rep1,0.6,3.56546
gyrate_protein,drugs2263,rep1,0.61,3.58675
gyrate_protein,drugs2263,rep1,0.62,3.57514
gyrate_protein,drugs2263,rep1,0.63,3.58597
gyrate_protein,drugs2263,rep1,0.64,3.57559
gyrate_protein,drugs2263,rep1,0.65,3.64391
gyrate_protein,drugs2263,rep1,0.66,3.6594
gyrate_protein,drugs2263,rep1,0.67,3.65627
gyrate_protein,drugs2263,rep1,0.68,3.73155
gyrate_protein,drugs2263,rep1,0.69,3.7501
gyrate_protein,drugs2263,rep1,0.7,3.75509
gyrate_protein,drugs2263,rep1,0.71,3.74361
gyrate_protein,drugs2263,rep1,0.72,3.74294
gyrate_protein,drugs2263,rep1,0.73,3.77404
gyrate_protein,drugs2263,rep1,0.74,3.78938
gyrate_protein,drugs2263,rep1,0.75,3.79095
gyrate_protein,drugs2263,rep1,0.76,3.7927
gyrate_protein,drugs2263,rep1,0.77,3.8045
gyrate_protein,drugs2263,rep1,0.78,3.81555
gyrate_protein,drugs2263,rep1,0.79,3.83634
gyrate_protein,drugs2263,rep1,0.8,3.81906
gyrate_protein,drugs2263,rep1,0.81,3.79951
gyrate_protein,drugs2263,rep1,0.82,3.85455
gyrate_protein,drugs2263,rep1,0.83,3.87129
gyrate_protein,drugs2263,rep1,0.84,3.83736
gyrate_protein,drugs2263,rep1,0.85,3.81544
gyrate_protein,drugs2263,rep1,0.86,3.79326
gyrate_protein,drugs2263,rep1,0.87,3.77432
gyrate_protein,drugs2263,rep1,0.88,3.78472
gyrate_protein,drugs2263,rep1,0.89,3.80067
gyrate_protein,drugs2263,rep1,0.9,3.79876
gyrate_protein,drugs2263,rep1,0.91,3.78732
gyrate_protein,drugs2263,rep1,0.92,3.80574
gyrate_protein,drugs2263,rep1,0.93,3.79908
gyrate_protein,drugs2263,rep1,0.94,3.78166
gyrate_protein,drugs2263,rep1,0.95,3.80113
gyrate_protein,drugs2263,rep1,0.96,3.79951
gyrate_protein,drugs2263,rep1,0.97,3.77821
gyrate_protein,drugs2263,rep1,0.98,3.78853
gyrate_protein,drugs2263,rep1,0.99,3.804
gyrate_protein,drugs2263,rep1,1.0,3.82201
gyrate_protein,drugs2263,rep1,1.01,3.84179
gyrate_protein,drugs2263,rep1,1.02,3.86115
gyrate_protein,drugs2263,rep1,1.03,3.85078
gyrate_protein,drugs2263,rep1,1.04,3.86672
gyrate_protein,drugs2263,rep1,1.05,3.80891
gyrate_protein,drugs2263,rep1,1.06,3.78312
gyrate_protein,drugs2263,rep1,1.07,3.76328
gyrate_protein,drugs2263,rep1,1.08,3.73789
gyrate_protein,drugs2263,rep1,1.09,3.73496
gyrate_protein,drugs2263,rep1,1.1,3.7444
gyrate_protein,drugs2263,rep1,1.11,3.70612
gyrate_protein,drugs2263,rep1,1.12,3.67148
gyrate_protein,drugs2263,rep1,1.13,3.66046
gyrate_protein,drugs2263,rep1,1.14,3.65223
gyrate_protein,drugs2263,rep1,1.15,3.63017
gyrate_protein,drugs2263,rep1,1.16,3.63092
gyrate_protein,drugs2263,rep1,1.17,3.62536
gyrate_protein,drugs2263,rep1,1.18,3.63095
gyrate_protein,drugs2263,rep1,1.19,3.64205
gyrate_protein,drugs2263,rep1,1.2,3.64801
gyrate_protein,drugs2263,rep1,1.21,3.60478
gyrate_protein,drugs2263,rep1,1.22,3.57563
gyrate_protein,drugs2263,rep1,1.23,3.57927
gyrate_protein,drugs2263,rep1,1.24,3.57083
gyrate_protein,drugs2263,rep1,1.25,3.58079
gyrate_protein,drugs2263,rep1,1.26,3.55441
gyrate_protein,drugs2263,rep1,1.27,3.55636
gyrate_protein,drugs2263,rep1,1.28,3.59382
gyrate_protein,drugs2263,rep1,1.29,3.59849
gyrate_protein,drugs2263,rep1,1.3,3.62451
gyrate_protein,drugs2263,rep1,1.31,3.65348
gyrate_protein,drugs2263,rep1,1.32,3.66972
gyrate_protein,drugs2263,rep1,1.33,3.66438
gyrate_protein,drugs2263,rep1,1.34,3.68911
gyrate_protein,drugs2263,rep1,1.35,3.68549
gyrate_protein,drugs2263,rep1,1.36,3.70676
gyrate_protein,drugs2263,rep1,1.37,3.72195
gyrate_protein,drugs2263,rep1,1.38,3.73094
gyrate_protein,drugs2263,rep1,1.39,3.75726
gyrate_protein,drugs2263,rep1,1.4,3.75488
gyrate_protein,drugs2263,rep1,1.41,3.77924
gyrate_protein,drugs2263,rep1,1.42,3.79029
gyrate_protein,drugs2263,rep1,1.43,3.79438
gyrate_protein,drugs2263,rep1,1.44,3.79608
gyrate_protein,drugs2263,rep1,1.45,3.80567
gyrate_protein,drugs2263,rep1,1.46,3.78273
gyrate_protein,drugs2263,rep1,1.47,3.80069
gyrate_protein,drugs2263,rep1,1.48,3.76219
gyrate_protein,drugs2263,rep1,1.49,3.81915
gyrate_protein,drugs2263,rep1,1.5,3.81768
gyrate_protein,drugs2263,rep1,1.51,3.78763
gyrate_protein,drugs2263,rep1,1.52,3.77761
gyrate_protein,drugs2263,rep1,1.53,3.76587
gyrate_protein,drugs2263,rep1,1.54,3.81
gyrate_protein,drugs2263,rep1,1.55,3.82121
gyrate_protein,drugs2263,rep1,1.56,3.75569
gyrate_protein,drugs2263,rep1,1.57,3.73605
gyrate_protein,drugs2263,rep1,1.58,3.77497
gyrate_protein,drugs2263,rep1,1.59,3.7784
gyrate_protein,drugs2263,rep1,1.6,3.74155
gyrate_protein,drugs2263,rep1,1.61,3.73953
gyrate_protein,drugs2263,rep1,1.62,3.75236
gyrate_protein,drugs2263,rep1,1.63,3.77899
gyrate_protein,drugs2263,rep1,1.64,3.79921
gyrate_protein,drugs2263,rep1,1.65,3.78617
gyrate_protein,drugs2263,rep1,1.66,3.75476
gyrate_protein,drugs2263,rep1,1.67,3.77172
gyrate_protein,drugs2263,rep1,1.68,3.78531
gyrate_protein,drugs2263,rep1,1.69,3.75578
gyrate_protein,drugs2263,rep1,1.7,3.74642
gyrate_protein,drugs2263,rep1,1.71,3.71788
gyrate_protein,drugs2263,rep1,1.72,3.70823
gyrate_protein,drugs2263,rep1,1.73,3.66683
gyrate_protein,drugs2263,rep1,1.74,3.68287
gyrate_protein,drugs2263,rep1,1.75,3.71694
gyrate_protein,drugs2263,rep1,1.76,3.69884
gyrate_protein,drugs2263,rep1,1.77,3.67161
gyrate_protein,drugs2263,rep1,1.78,3.61482
gyrate_protein,drugs2263,rep1,1.79,3.59869
gyrate_protein,drugs2263,rep1,1.8,3.61188
gyrate_protein,drugs2263,rep1,1.81,3.62412
gyrate_protein,drugs2263,rep1,1.82,3.65197
gyrate_protein,drugs2263,rep1,1.83,3.65652
gyrate_protein,drugs2263,rep1,1.84,3.6675
gyrate_protein,drugs2263,rep1,1.85,3.63533
gyrate_protein,drugs2263,rep1,1.86,3.63602
gyrate_protein,drugs2263,rep1,1.87,3.66085
gyrate_protein,drugs2263,rep1,1.88,3.64889
gyrate_protein,drugs2263,rep1,1.89,3.68112
gyrate_protein,drugs2263,rep1,1.9,3.68013
gyrate_protein,drugs2263,rep1,1.91,3.68499
gyrate_protein,drugs2263,rep1,1.92,3.66138
gyrate_protein,drugs2263,rep1,1.93,3.65006
gyrate_protein,drugs2263,rep1,1.94,3.67441
gyrate_protein,drugs2263,rep1,1.95,3.71583
gyrate_protein,drugs2263,rep1,1.96,3.69757
gyrate_protein,drugs2263,rep1,1.97,3.69694
gyrate_protein,drugs2263,rep1,1.98,3.68465
gyrate_protein,drugs2263,rep1,1.99,3.65844
gyrate_protein,drugs2263,rep1,2.0,3.67126
gyrate_protein,drugs2263,rep1,2.01,3.65703
gyrate_protein,drugs2263,rep1,2.02,3.69265
gyrate_protein,drugs2263,rep1,2.03,3.72278
gyrate_protein,drugs2263,rep1,2.04,3.73674
gyrate_protein,drugs2263,rep1,2.05,3.70918
gyrate_protein,drugs2263,rep1,2.06,3.69792
gyrate_protein,drugs2263,rep1,2.07,3.6778
gyrate_protein,drugs2263,rep1,2.08,3.72598
gyrate_protein,drugs2263,rep1,2.09,3.74711
gyrate_protein,drugs2263,rep1,2.1,3.70034
gyrate_protein,drugs2263,rep1,2.11,3.688
gyrate_protein,drugs2263,rep1,2.12,3.6457
gyrate_protein,drugs2263,rep1,2.13,3.67204
gyrate_protein,drugs2263,rep1,2.14,3.66656
gyrate_protein,drugs2263,rep1,2.15,3.66349
gyrate_protein,drugs2263,rep1,2.16,3.63248
gyrate_protein,drugs2263,rep1,2.17,3.62287
gyrate_protein,drugs2263,rep1,2.18,3.65738
gyrate_protein,drugs2263,rep1,2.19,3.63652
gyrate_protein,drugs2263,rep1,2.2,3.61041
gyrate_protein,drugs2263,rep1,2.21,3.59945
gyrate_protein,drugs2263,rep1,2.22,3.61381
gyrate_protein,drugs2263,rep1,2.23,3.6007
gyrate_protein,drugs2263,rep1,2.24,3.56933
gyrate_protein,drugs2263,rep1,2.25,3.58859
gyrate_protein,drugs2263,rep1,2.26,3.6067
gyrate_protein,drugs2263,rep1,2.27,3.62388
gyrate_protein,drugs2263,rep1,2.28,3.61586
gyrate_protein,drugs2263,rep1,2.29,3.61981
gyrate_protein,drugs2263,rep1,2.3,3.59936
gyrate_protein,drugs2263,rep1,2.31,3.57492
gyrate_protein,drugs2263,rep1,2.32,3.52754
gyrate_protein,drugs2263,rep1,2.33,3.52079
gyrate_protein,drugs2263,rep1,2.34,3.51185
gyrate_protein,drugs2263,rep1,2.35,3.51924
gyrate_protein,drugs2263,rep1,2.36,3.50792
gyrate_protein,drugs2263,rep1,2.37,3.49128
gyrate_protein,drugs2263,rep1,2.38,3.49851
gyrate_protein,drugs2263,rep1,2.39,3.50108
gyrate_protein,drugs2263,rep1,2.4,3.50727
gyrate_protein,drugs2263,rep1,2.41,3.47661
gyrate_protein,drugs2263,rep1,2.42,3.46674
gyrate_protein,drugs2263,rep1,2.43,3.47111
gyrate_protein,drugs2263,rep1,2.44,3.45249
gyrate_protein,drugs2263,rep1,2.45,3.42906
gyrate_protein,drugs2263,rep1,2.46,3.40391
gyrate_protein,drugs2263,rep1,2.47,3.45128
gyrate_protein,drugs2263,rep1,2.48,3.44284
gyrate_protein,drugs2263,rep1,2.49,3.46414
gyrate_protein,drugs2263,rep1,2.5,3.48079
gyrate_protein,drugs2263,rep1,2.51,3.51162
gyrate_protein,drugs2263,rep1,2.52,3.50797
gyrate_protein,drugs2263,rep1,2.53,3.4875
gyrate_protein,drugs2263,rep1,2.54,3.48843
gyrate_protein,drugs2263,rep1,2.55,3.47031
gyrate_protein,drugs2263,rep1,2.56,3.49336
gyrate_protein,drugs2263,rep1,2.57,3.48118
gyrate_protein,drugs2263,rep1,2.58,3.4888
gyrate_protein,drugs2263,rep1,2.59,3.44402
gyrate_protein,drugs2263,rep1,2.6,3.44616
gyrate_protein,drugs2263,rep1,2.61,3.46733
gyrate_protein,drugs2263,rep1,2.62,3.48674
gyrate_protein,drugs2263,rep1,2.63,3.4754
gyrate_protein,drugs2263,rep1,2.64,3.47253
gyrate_protein,drugs2263,rep1,2.65,3.48309
gyrate_protein,drugs2263,rep1,2.66,3.48382
gyrate_protein,drugs2263,rep1,2.67,3.50831
gyrate_protein,drugs2263,rep1,2.68,3.4696
gyrate_protein,drugs2263,rep1,2.69,3.48507
gyrate_protein,drugs2263,rep1,2.7,3.50108
gyrate_protein,drugs2263,rep1,2.71,3.46254
gyrate_protein,drugs2263,rep1,2.72,3.49766
gyrate_protein,drugs2263,rep1,2.73,3.42507
gyrate_protein,drugs2263,rep1,2.74,3.39902
gyrate_protein,drugs2263,rep1,2.75,3.39021
gyrate_protein,drugs2263,rep1,2.76,3.41527
gyrate_protein,drugs2263,rep1,2.77,3.42531
