metric,system,rep,x,y
contacts_prot_lig,drugs2263,rep1,0.0,14.0
contacts_prot_lig,drugs2263,rep1,0.01,14.0
contacts_prot_lig,drugs2263,rep1,0.02,19.0
contacts_prot_lig,drugs2263,rep1,0.03,16.0
contacts_prot_lig,drugs2263,rep1,0.04,14.0
contacts_prot_lig,drugs2263,rep1,0.05,17.0
contacts_prot_lig,drugs2263,rep1,0.06,18.0
contacts_prot_lig,drugs2263,rep1,0.07,18.0
contacts_prot_lig,drugs2263,rep1,0.08,18.0
contacts_prot_lig,drugs2263,rep1,0.09,12.0
contacts_prot_lig,drugs2263,rep1,0.1,14.0
contacts_prot_lig,drugs2263,rep1,0.11,17.0
contacts_prot_lig,drugs2263,rep1,0.12,16.0
contacts_prot_lig,drugs2263,rep1,0.13,16.0
contacts_prot_lig,drugs2263,rep1,0.14,25.0
contacts_prot_lig,drugs2263,rep1,0.15,20.0
contacts_prot_lig,drugs2263,rep1,0.16,21.0
contacts_prot_lig,drugs2263,rep1,0.17,19.0
contacts_prot_lig,drugs2263,rep1,0.18,16.0
contacts_prot_lig,drugs2263,rep1,0.19,21.0
contacts_prot_lig,drugs2263,rep1,0.2,17.0
contacts_prot_lig,drugs2263,rep1,0.21,17.0
contacts_prot_lig,drugs2263,rep1,0.22,14.0
contacts_prot_lig,drugs2263,rep1,0.23,17.0
contacts_prot_lig,drugs2263,rep1,0.24,21.0
contacts_prot_lig,drugs2263,rep1,0.25,21.0
contacts_prot_lig,drugs2263,rep1,0.26,18.0
contacts_prot_lig,drugs2263,rep1,0.27,19.0
contacts_prot_lig,drugs2263,rep1,0.28,19.0
contacts_prot_lig,drugs2263,rep1,0.29,22.0
contacts_prot_lig,drugs2263,rep1,0.3,18.0
contacts_prot_lig,drugs2263,rep1,0.31,21.0
contacts_prot_lig,drugs2263,rep1,0.32,21.0
contacts_prot_lig,drugs2263,rep1,0.33,27.0
contacts_prot_lig,drugs2263,rep1,0.34,29.0
contacts_prot_lig,drugs2263,rep1,0.35,29.0
contacts_prot_lig,drugs2263,rep1,0.36,31.0
contacts_prot_lig,drugs2263,rep1,0.37,26.0
contacts_prot_lig,drugs2263,rep1,0.38,27.0
contacts_prot_lig,drugs2263,rep1,0.39,27.0
contacts_prot_lig,drugs2263,rep1,0.4,20.0
contacts_prot_lig,drugs2263,rep1,0.41,20.0
contacts_prot_lig,drugs2263,rep1,0.42,20.0
contacts_prot_lig,drugs2263,rep1,0.43,23.0
contacts_prot_lig,drugs2263,rep1,0.44,28.0
contacts_prot_lig,drugs2263,rep1,0.45,24.0
contacts_prot_lig,drugs2263,rep1,0.46,26.0
contacts_prot_lig,drugs2263,rep1,0.47,25.0
contacts_prot_lig,drugs2263,rep1,0.48,19.0
contacts_prot_lig,drugs2263,rep1,0.49,24.0
contacts_prot_lig,drugs2263,rep1,0.5,25.0
contacts_prot_lig,drugs2263,rep1,0.51,25.0
contacts_prot_lig,drugs2263,rep1,0.52,24.0
contacts_prot_lig,drugs2263,rep1,0.53,17.0
contacts_prot_lig,drugs2263,rep1,0.54,24.0
contacts_prot_lig,drugs2263,rep1,0.55,23.0
contacts_prot_lig,drugs2263,rep1,0.56,21.0
contacts_prot_lig,drugs2263,rep1,0.57,18.0
contacts_prot_lig,drugs2263,rep1,0.58,16.0
contacts_prot_lig,drugs2263,rep1,0.59,18.0
contacts_prot_lig,drugs2263,rep1,0.6,19.0
contacts_prot_lig,drugs2263,rep1,0.61,18.0
contacts_prot_lig,drugs2263,rep1,0.62,18.0
contacts_prot_lig,drugs2263,rep1,0.63,19.0
contacts_prot_lig,drugs2263,rep1,0.64,18.0
contacts_prot_lig,drugs2263,rep1,0.65,21.0
contacts_prot_lig,drugs2263,rep1,0.66,17.0
contacts_prot_lig,drugs2263,rep1,0.67,16.0
contacts_prot_lig,drugs2263,rep1,0.68,16.0
contacts_prot_lig,drugs2263,rep1,0.69,17.0
contacts_prot_lig,drugs2263,rep1,0.7,17.0
contacts_prot_lig,drugs2263,rep1,0.71,20.0
contacts_prot_lig,drugs2263,rep1,0.72,21.0
contacts_prot_lig,drugs2263,rep1,0.73,21.0
contacts_prot_lig,drugs2263,rep1,0.74,21.0
contacts_prot_lig,drugs2263,rep1,0.75,22.0
contacts_prot_lig,drugs2263,rep1,0.76,21.0
contacts_prot_lig,drugs2263,rep1,0.77,18.0
contacts_prot_lig,drugs2263,rep1,0.78,17.0
contacts_prot_lig,drugs2263,rep1,0.79,16.0
contacts_prot_lig,drugs2263,rep1,0.8,22.0
contacts_prot_lig,drugs2263,rep1,0.81,22.0
contacts_prot_lig,drugs2263,rep1,0.82,20.0
contacts_prot_lig,drugs2263,rep1,0.83,23.0
contacts_prot_lig,drugs2263,rep1,0.84,29.0
contacts_prot_lig,drugs2263,rep1,0.85,22.0
contacts_prot_lig,drugs2263,rep1,0.86,16.0
contacts_prot_lig,drugs2263,rep1,0.87,17.0
contacts_prot_lig,drugs2263,rep1,0.88,18.0
contacts_prot_lig,drugs2263,rep1,0.89,16.0
contacts_prot_lig,drugs2263,rep1,0.9,20.0
contacts_prot_lig,drugs2263,rep1,0.91,17.0
contacts_prot_lig,drugs2263,rep1,0.92,18.0
contacts_prot_lig,drugs2263,rep1,0.93,19.0
contacts_prot_lig,drugs2263,rep1,0.94,16.0
contacts_prot_lig,drugs2263,rep1,0.95,17.0
contacts_prot_lig,drugs2263,rep1,0.96,20.0
contacts_prot_lig,drugs2263,rep1,0.97,18.0
contacts_prot_lig,drugs2263,rep1,0.98,18.0
contacts_prot_lig,drugs2263,rep1,0.99,18.0
contacts_prot_lig,drugs2263,rep1,1.0,17.0
contacts_prot_lig,drugs2263,rep1,1.01,18.0
contacts_prot_lig,drugs2263,rep1,1.02,18.0
contacts_prot_lig,drugs2263,rep1,1.03,20.0
contacts_prot_lig,drugs2263,rep1,1.04,20.0
contacts_prot_lig,drugs2263,rep1,1.05,21.0
contacts_prot_lig,drugs2263,rep1,1.06,16.0
contacts_prot_lig,drugs2263,rep1,1.07,24.0
contacts_prot_lig,drugs2263,rep1,1.08,24.0
contacts_prot_lig,drugs2263,rep1,1.09,18.0
contacts_prot_lig,drugs2263,rep1,1.1,15.0
contacts_prot_lig,drugs2263,rep1,1.11,21.0
contacts_prot_lig,drugs2263,rep1,1.12,19.0
contacts_prot_lig,drugs2263,rep1,1.13,17.0
contacts_prot_lig,drugs2263,rep1,1.14,16.0
contacts_prot_lig,drugs2263,rep1,1.15,17.0
contacts_prot_lig,drugs2263,rep1,1.16,16.0
contacts_prot_lig,drugs2263,rep1,1.17,19.0
contacts_prot_lig,drugs2263,rep1,1.18,15.0
contacts_prot_lig,drugs2263,rep1,1.19,15.0
contacts_prot_lig,drugs2263,rep1,1.2,18.0
contacts_prot_lig,drugs2263,rep1,1.21,21.0
contacts_prot_lig,drugs2263,rep1,1.22,24.0
contacts_prot_lig,drugs2263,rep1,1.23,23.0
contacts_prot_lig,drugs2263,rep1,1.24,19.0
contacts_prot_lig,drugs2263,rep1,1.25,19.0
contacts_prot_lig,drugs2263,rep1,1.26,15.0
contacts_prot_lig,drugs2263,rep1,1.27,17.0
contacts_prot_lig,drugs2263,rep1,1.28,15.0
contacts_prot_lig,drugs2263,rep1,1.29,20.0
contacts_prot_lig,drugs2263,rep1,1.3,24.0
contacts_prot_lig,drugs2263,rep1,1.31,20.0
contacts_prot_lig,drugs2263,rep1,1.32,18.0
contacts_prot_lig,drugs2263,rep1,1.33,20.0
contacts_prot_lig,drugs2263,rep1,1.34,19.0
contacts_prot_lig,drugs2263,rep1,1.35,17.0
contacts_prot_lig,drugs2263,rep1,1.36,20.0
contacts_prot_lig,drugs2263,rep1,1.37,17.0
contacts_prot_lig,drugs2263,rep1,1.38,19.0
contacts_prot_lig,drugs2263,rep1,1.39,20.0
contacts_prot_lig,drugs2263,rep1,1.4,20.0
contacts_prot_lig,drugs2263,rep1,1.41,20.0
contacts_prot_lig,drugs2263,rep1,1.42,21.0
contacts_prot_lig,drugs2263,rep1,1.43,17.0
contacts_prot_lig,drugs2263,rep1,1.44,20.0
contacts_prot_lig,drugs2263,rep1,1.45,22.0
contacts_prot_lig,drugs2263,rep1,1.46,22.0
contacts_prot_lig,drugs2263,rep1,1.47,19.0
contacts_prot_lig,drugs2263,rep1,1.48,20.0
contacts_prot_lig,drugs2263,rep1,1.49,22.0
contacts_prot_lig,drugs2263,rep1,1.5,20.0
contacts_prot_lig,drugs2263,rep1,1.51,20.0
contacts_prot_lig,drugs2263,rep1,1.52,16.0
contacts_prot_lig,drugs2263,rep1,1.53,23.0
contacts_prot_lig,drugs2263,rep1,1.54,24.0
contacts_prot_lig,drugs2263,rep1,1.55,24.0
contacts_prot_lig,drugs2263,rep1,1.56,23.0
contacts_prot_lig,drugs2263,rep1,1.57,23.0
contacts_prot_lig,drugs2263,rep1,1.58,22.0
contacts_prot_lig,drugs2263,rep1,1.59,25.0
contacts_prot_lig,drugs2263,rep1,1.6,22.0
contacts_prot_lig,drugs2263,rep1,1.61,19.0
contacts_prot_lig,drugs2263,rep1,1.62,24.0
contacts_prot_lig,drugs2263,rep1,1.63,25.0
contacts_prot_lig,drugs2263,rep1,1.64,29.0
contacts_prot_lig,drugs2263,rep1,1.65,27.0
contacts_prot_lig,drugs2263,rep1,1.66,28.0
contacts_prot_lig,drugs2263,rep1,1.67,23.0
contacts_prot_lig,drugs2263,rep1,1.68,22.0
contacts_prot_lig,drugs2263,rep1,1.69,23.0
contacts_prot_lig,drugs2263,rep1,1.7,23.0
contacts_prot_lig,drugs2263,rep1,1.71,20.0
contacts_prot_lig,drugs2263,rep1,1.72,24.0
contacts_prot_lig,drugs2263,rep1,1.73,24.0
contacts_prot_lig,drugs2263,rep1,1.74,21.0
contacts_prot_lig,drugs2263,rep1,1.75,26.0
contacts_prot_lig,drugs2263,rep1,1.76,22.0
contacts_prot_lig,drugs2263,rep1,1.77,20.0
contacts_prot_lig,drugs2263,rep1,1.78,22.0
contacts_prot_lig,drugs2263,rep1,1.79,23.0
contacts_prot_lig,drugs2263,rep1,1.8,20.0
contacts_prot_lig,drugs2263,rep1,1.81,23.0
contacts_prot_lig,drugs2263,rep1,1.82,24.0
contacts_prot_lig,drugs2263,rep1,1.83,23.0
contacts_prot_lig,drugs2263,rep1,1.84,21.0
contacts_prot_lig,drugs2263,rep1,1.85,21.0
contacts_prot_lig,drugs2263,rep1,1.86,23.0
contacts_prot_lig,drugs2263,rep1,1.87,22.0
contacts_prot_lig,drugs2263,rep1,1.88,20.0
contacts_prot_lig,drugs2263,rep1,1.89,25.0
contacts_prot_lig,drugs2263,rep1,1.9,22.0
contacts_prot_lig,drugs2263,rep1,1.91,24.0
contacts_prot_lig,drugs2263,rep1,1.92,23.0
contacts_prot_lig,drugs2263,rep1,1.93,22.0
contacts_prot_lig,drugs2263,rep1,1.94,23.0
contacts_prot_lig,drugs2263,rep1,1.95,21.0
contacts_prot_lig,drugs2263,rep1,1.96,20.0
contacts_prot_lig,drugs2263,rep1,1.97,19.0
contacts_prot_lig,drugs2263,rep1,1.98,21.0
contacts_prot_lig,drugs2263,rep1,1.99,18.0
contacts_prot_lig,drugs2263,rep1,2.0,20.0
contacts_prot_lig,drugs2263,rep1,2.01,25.0
contacts_prot_lig,drugs2263,rep1,2.02,22.0
contacts_prot_lig,drugs2263,rep1,2.03,23.0
contacts_prot_lig,drugs2263,rep1,2.04,22.0
contacts_prot_lig,drugs2263,rep1,2.05,20.0
contacts_prot_lig,drugs2263,rep1,2.06,22.0
contacts_prot_lig,drugs2263,rep1,2.07,24.0
contacts_prot_lig,drugs2263,rep1,2.08,17.0
contacts_prot_lig,drugs2263,rep1,2.09,19.0
contacts_prot_lig,drugs2263,rep1,2.1,19.0
contacts_prot_lig,drugs2263,rep1,2.11,21.0
contacts_prot_lig,drugs2263,rep1,2.12,16.0
contacts_prot_lig,drugs2263,rep1,2.13,19.0
contacts_prot_lig,drugs2263,rep1,2.14,22.0
contacts_prot_lig,drugs2263,rep1,2.15,24.0
contacts_prot_lig,drugs2263,rep1,2.16,25.0
contacts_prot_lig,drugs2263,rep1,2.17,19.0
contacts_prot_lig,drugs2263,rep1,2.18,21.0
contacts_prot_lig,drugs2263,rep1,2.19,18.0
contacts_prot_lig,drugs2263,rep1,2.2,18.0
contacts_prot_lig,drugs2263,rep1,2.21,23.0
contacts_prot_lig,drugs2263,rep1,2.22,22.0
contacts_prot_lig,drugs2263,rep1,2.23,20.0
contacts_prot_lig,drugs2263,rep1,2.24,21.0
contacts_prot_lig,drugs2263,rep1,2.25,20.0
contacts_prot_lig,drugs2263,rep1,2.26,21.0
contacts_prot_lig,drugs2263,rep1,2.27,20.0
contacts_prot_lig,drugs2263,rep1,2.28,20.0
contacts_prot_lig,drugs2263,rep1,2.29,20.0
contacts_prot_lig,drugs2263,rep1,2.3,18.0
contacts_prot_lig,drugs2263,rep1,2.31,21.0
contacts_prot_lig,drugs2263,rep1,2.32,21.0
contacts_prot_lig,drugs2263,rep1,2.33,21.0
contacts_prot_lig,drugs2263,rep1,2.34,18.0
contacts_prot_lig,drugs2263,rep1,2.35,22.0
contacts_prot_lig,drugs2263,rep1,2.36,25.0
contacts_prot_lig,drugs2263,rep1,2.37,24.0
contacts_prot_lig,drugs2263,rep1,2.38,21.0
contacts_prot_lig,drugs2263,rep1,2.39,24.0
contacts_prot_lig,drugs2263,rep1,2.4,30.0
contacts_prot_lig,drugs2263,rep1,2.41,25.0
contacts_prot_lig,drugs2263,rep1,2.42,22.0
contacts_prot_lig,drugs2263,rep1,2.43,22.0
contacts_prot_lig,drugs2263,rep1,2.44,23.0
contacts_prot_lig,drugs2263,rep1,2.45,23.0
contacts_prot_lig,drugs2263,rep1,2.46,25.0
contacts_prot_lig,drugs2263,rep1,2.47,20.0
contacts_prot_lig,drugs2263,rep1,2.48,17.0
contacts_prot_lig,drugs2263,rep1,2.49,25.0
contacts_prot_lig,drugs2263,rep1,2.5,24.0
contacts_prot_lig,drugs2263,rep1,2.51,27.0
contacts_prot_lig,drugs2263,rep1,2.52,24.0
contacts_prot_lig,drugs2263,rep1,2.53,24.0
contacts_prot_lig,drugs2263,rep1,2.54,22.0
contacts_prot_lig,drugs2263,rep1,2.55,23.0
contacts_prot_lig,drugs2263,rep1,2.56,21.0
contacts_prot_lig,drugs2263,rep1,2.57,23.0
contacts_prot_lig,drugs2263,rep1,2.58,27.0
contacts_prot_lig,drugs2263,rep1,2.59,24.0
contacts_prot_lig,drugs2263,rep1,2.6,19.0
contacts_prot_lig,drugs2263,rep1,2.61,23.0
contacts_prot_lig,drugs2263,rep1,2.62,22.0
contacts_prot_lig,drugs2263,rep1,2.63,18.0
contacts_prot_lig,drugs2263,rep1,2.64,18.0
contacts_prot_lig,drugs2263,rep1,2.65,20.0
contacts_prot_lig,drugs2263,rep1,2.66,21.0
contacts_prot_lig,drugs2263,rep1,2.67,23.0
contacts_prot_lig,drugs2263,rep1,2.68,22.0
contacts_prot_lig,drugs2263,rep1,2.69,20.0
contacts_prot_lig,drugs2263,rep1,2.7,20.0
contacts_prot_lig,drugs2263,rep1,2.71,19.0
contacts_prot_lig,drugs2263,rep1,2.72,21.0
contacts_prot_lig,drugs2263,rep1,2.73,18.0
contacts_prot_lig,drugs2263,rep1,2.74,22.0
contacts_prot_lig,drugs2263,rep1,2.75,19.0
contacts_prot_lig,drugs2263,rep1,2.76,23.0
contacts_prot_lig,drugs2263,rep1,2.77,21.0
contacts_prot_lig,drugs2263,rep1,2.78,24.0
contacts_prot_lig,drugs2263,rep1,2.79,17.0
contacts_prot_lig,drugs2263,rep1,2.8,20.0
contacts_prot_lig,drugs2263,rep1,2.81,19.0
contacts_prot_lig,drugs2263,rep1,2.82,23.0
contacts_prot_lig,drugs2263,rep1,2.83,24.0
contacts_prot_lig,drugs2263,rep1,2.84,25.0
